<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bahman.Group,20010407,3720,3720,3720,3720,20869200,5610,3,D,0,3720
Bahman.Group,20010408,3720,3771,3720,3770,45286313,12044,15,D,3720,3770
Bahman.Group,20010409,3751,3780,3751,3780,12377384,3284,10,D,3770,3780
Bahman.Group,20010410,3790,3802,3790,3802,23014672,6068,14,D,3780,3802
Bahman.Group,20010411,3802,3900,3802,3851,55183624,14358,20,D,3802,3851
Bahman.Group,20010414,3860,3862,3851,3851,41686660,10802,19,D,3851,3851
Bahman.Group,20010415,3860,3920,3851,3900,74706328,19247,32,D,3851,3900
Bahman.Group,20010425,2303,2420,2303,2420,17384345,7478,21,D,3900,2420
Bahman.Group,20010429,2541,2541,2541,2541,9223830,3630,17,D,2420,2541
Bahman.Group,20010430,2600,2668,2600,2668,10003128,3786,15,D,2541,2668
Bahman.Group,20010501,2801,2801,2795,2799,141652576,50574,53,D,2668,2799
Bahman.Group,20010502,2786,2800,2700,2800,128260615,46549,81,D,2799,2800
Bahman.Group,20010505,2800,2800,2793,2800,143294672,51210,67,D,2800,2800
Bahman.Group,20010506,2797,2800,2790,2800,300098451,107254,77,D,2800,2800
Bahman.Group,20010507,2799,2799,2760,2770,65929462,23626,25,D,2800,2770
Bahman.Group,20010508,2762,2770,2701,2701,35961054,13070,38,D,2770,2701
Bahman.Group,20010509,2701,2701,2600,2600,51902915,19632,34,D,2701,2600
Bahman.Group,20010512,2698,2698,2590,2590,44673146,17082,26,D,2600,2590
Bahman.Group,20010513,2590,2590,2500,2502,41718664,16319,34,D,2590,2502
Bahman.Group,20010515,2502,2590,2500,2560,31352717,12348,23,D,2502,2560
Bahman.Group,20010516,2566,2600,2565,2590,139211062,53686,31,D,2560,2590
Bahman.Group,20010519,2594,2690,2585,2585,157611979,60470,62,D,2590,2585
Bahman.Group,20010520,2587,2589,2550,2550,136977595,53349,40,D,2585,2550
Bahman.Group,20010521,2585,2637,2550,2552,216034150,83515,70,D,2550,2552
Bahman.Group,20010523,2601,2604,2575,2602,1369483053,528589,65,D,2552,2602
Bahman.Group,20010526,2602,2670,2602,2650,59791942,22559,31,D,2602,2650
Bahman.Group,20010527,2640,2698,2621,2690,55299757,20800,36,D,2650,2690
Bahman.Group,20010528,2690,2758,2690,2755,70453748,25620,25,D,2690,2755
Bahman.Group,20010529,2772,2801,1889,2778,156640466,56898,65,D,2755,2778
Bahman.Group,20010530,2798,2800,2702,2703,232428019,84582,74,D,2778,2703
Bahman.Group,20010602,2738,2799,2710,2750,99905087,36429,52,D,2703,2750
Bahman.Group,20010603,2741,2760,2701,2710,90519725,33144,63,D,2750,2710
Bahman.Group,20010606,2714,2741,2711,2731,71778573,26229,47,D,2710,2731
Bahman.Group,20010609,2725,2740,2720,2731,144670273,53008,53,D,2731,2731
Bahman.Group,20010611,2742,2750,2700,2700,78464332,28691,37,D,2731,2700
Bahman.Group,20010612,2700,2700,2685,2690,29813642,11059,46,D,2700,2690
Bahman.Group,20010613,2690,2710,1845,2690,318801586,153081,315,D,2690,2690
Bahman.Group,20010616,2690,2691,2650,2690,50909357,19011,43,D,2690,2690
Bahman.Group,20010617,2690,2690,2667,2677,87866545,32863,68,D,2690,2677
Bahman.Group,20010618,2678,2678,1825,2649,101237951,50066,294,D,2677,2649
Bahman.Group,20010619,2640,2648,2600,2639,151329907,57741,82,D,2649,2639
Bahman.Group,20010620,2600,2633,2576,2596,103594545,39797,65,D,2639,2596
Bahman.Group,20010623,2625,2675,2598,2670,108125020,40692,64,D,2596,2670
Bahman.Group,20010624,2670,2750,2670,2740,130529798,48381,91,D,2670,2740
Bahman.Group,20010625,2716,2740,2699,2700,100951622,37298,47,D,2740,2700
Bahman.Group,20010626,2698,2701,2690,2700,131590360,48755,81,D,2700,2700
Bahman.Group,20010627,2698,2750,2690,2750,551031758,203964,141,D,2700,2750
Bahman.Group,20010630,2702,2758,2702,2753,473729116,172273,122,D,2750,2753
Bahman.Group,20010701,2753,2820,2740,2820,297306617,106616,98,D,2753,2820
Bahman.Group,20010702,2841,2880,2806,2861,292620443,102298,104,D,2820,2861
Bahman.Group,20010703,2862,2885,2860,2885,169752781,59090,77,D,2861,2885
Bahman.Group,20010704,2890,3000,2880,2975,469692674,157611,126,D,2885,2975
