<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
E..Kh..Shargh,20040223,3851,3851,3800,3816,8004597000,2097500,1824,D,3851,3816
E..Kh..Shargh,20040224,4006,4006,3822,3822,4005816,1000,4,D,3816,3822
E..Kh..Shargh,20040225,4013,4013,4013,4013,401300000,100000,88,D,3822,4013
E..Kh..Shargh,20040228,4213,4213,4076,4076,42129863,10000,11,D,4013,4076
E..Kh..Shargh,20040229,4279,4279,4279,4279,2139500000,500000,219,D,4076,4279
E..Kh..Shargh,20040303,4279,4400,4106,4279,1836768051,429202,335,D,4279,4279
E..Kh..Shargh,20040306,4277,4327,4277,4298,817955258,190305,146,D,4279,4298
E..Kh..Shargh,20040307,4258,4272,4084,4126,178718977,43314,49,D,4298,4126
E..Kh..Shargh,20040308,3920,3928,3920,3920,319522271,81506,59,D,4126,3920
E..Kh..Shargh,20040309,3940,4110,3940,4036,440021309,109016,58,D,3920,4036
E..Kh..Shargh,20040310,4034,4102,3975,4052,112481697,27733,31,D,4036,4052
E..Kh..Shargh,20040313,4079,4090,3929,4008,61594830,15541,21,D,4052,4008
E..Kh..Shargh,20040314,3922,4000,3919,3959,166741558,42112,40,D,4008,3959
E..Kh..Shargh,20040315,3989,3990,3900,3931,274714757,69875,52,D,3959,3931
E..Kh..Shargh,20040316,3931,3967,3910,3941,149427377,37916,39,D,3931,3941
E..Kh..Shargh,20040317,3931,3931,3906,3920,84378312,21572,26,D,3941,3920
E..Kh..Shargh,20040327,3920,3920,3920,3920,9925440,2532,2,D,3920,3920
E..Kh..Shargh,20040328,3907,3911,3890,3911,41511640,10660,7,D,3920,3911
E..Kh..Shargh,20040329,3800,3869,3800,3869,45171290,11887,11,D,3911,3869
E..Kh..Shargh,20040330,3827,3829,3800,3811,104767659,27542,21,D,3869,3811
E..Kh..Shargh,20040403,3811,3811,3799,3802,116821528,30741,21,D,3811,3802
E..Kh..Shargh,20040404,3810,3950,3800,3834,113238990,29417,32,D,3802,3834
E..Kh..Shargh,20040405,3990,4001,3969,3978,278148146,69919,41,D,3834,3978
E..Kh..Shargh,20040406,4050,4176,4050,4164,174942967,42010,32,D,3978,4164
E..Kh..Shargh,20040407,4372,4372,4228,4283,113167962,25966,28,D,4164,4283
E..Kh..Shargh,20040410,4497,4497,4346,4382,187032387,42678,27,D,4283,4382
E..Kh..Shargh,20040412,4400,4400,4358,4393,190077037,43262,23,D,4382,4393
E..Kh..Shargh,20040413,4389,4389,4200,4362,149650925,34353,24,D,4393,4362
E..Kh..Shargh,20040414,4324,4350,4317,4350,81090596,18697,12,D,4362,4350
E..Kh..Shargh,20040417,4306,4306,4135,4298,80422655,18980,15,D,4350,4298
E..Kh..Shargh,20040418,4287,4295,4135,4292,87917277,20510,16,D,4298,4292
E..Kh..Shargh,20040421,4282,4283,4260,4273,129659719,30380,21,D,4292,4273
E..Kh..Shargh,20040424,4263,4272,4262,4272,16796380,3940,4,D,4273,4272
E..Kh..Shargh,20040426,4071,4189,4060,4189,69223560,17016,13,D,4272,4189
E..Kh..Shargh,20040427,4049,4182,4049,4182,8139820,2010,2,D,4189,4182
E..Kh..Shargh,20040501,3973,4165,3973,4165,13100901,3297,5,D,4182,4165
E..Kh..Shargh,20040502,3970,4153,3964,4153,9661530,2435,6,D,4165,4153
E..Kh..Shargh,20040504,3946,4125,3946,4125,21744250,5510,6,D,4153,4125
E..Kh..Shargh,20040505,3919,4112,3919,4112,9838620,2510,3,D,4125,4112
E..Kh..Shargh,20040508,3907,3907,3907,3907,377810807,96701,40,D,4112,3907
E..Kh..Shargh,20040517,4134,4380,3962,4129,872513206,211308,143,D,3907,4129
E..Kh..Shargh,20040518,4335,4335,4130,4191,73633203,17191,17,D,4129,4191
E..Kh..Shargh,20040519,4302,4302,4191,4207,68663343,16213,14,D,4191,4207
E..Kh..Shargh,20040522,4301,4417,4300,4398,243071767,55267,44,D,4207,4398
E..Kh..Shargh,20040523,4397,4599,4393,4434,51394000,11340,8,D,4398,4434
E..Kh..Shargh,20040524,4377,4655,4240,4466,436466245,97712,65,D,4434,4466
E..Kh..Shargh,20040608,4466,5000,4200,4877,93998250,19270,13,D,4466,4877
E..Kh..Shargh,20040609,4900,4900,4800,4881,294796561,60385,35,D,4877,4881
E..Kh..Shargh,20040612,4881,4881,4680,4724,181705500,38573,31,D,4881,4724
E..Kh..Shargh,20040613,4549,4750,4500,4607,146983590,32143,23,D,4724,4607
E..Kh..Shargh,20040614,4607,4608,4607,4607,51032816,11077,17,D,4607,4607
E..Kh..Shargh,20040615,4594,4600,4400,4563,160129000,35151,39,D,4607,4563
