<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
I..T..Foundry,20010423,6282,6282,6282,6282,3141000,500,1,D,0,6282
I..T..Foundry,20010501,6282,6282,6282,6282,19367406,3083,5,D,6282,6282
I..T..Foundry,20010502,6282,6282,6282,6282,25190820,4010,8,D,6282,6282
I..T..Foundry,20010505,6500,6500,6500,6500,19500000,3000,3,D,6282,6500
I..T..Foundry,20010507,6825,6825,6825,6825,23887500,3500,6,D,6500,6825
I..T..Foundry,20010508,7166,7166,7166,7166,11343778,1583,2,D,6825,7166
I..T..Foundry,20010509,7524,7524,7524,7524,74036160,9840,14,D,7166,7524
I..T..Foundry,20010512,7525,7525,7525,7525,14297500,1900,2,D,7524,7525
I..T..Foundry,20010513,7526,7543,7526,7543,14978484,1988,2,D,7525,7543
I..T..Foundry,20010520,7920,7920,7920,7920,7920000,1000,3,D,7543,7920
I..T..Foundry,20010521,8316,8316,8316,8316,9147600,1100,4,D,7920,8316
I..T..Foundry,20010529,8731,8731,8731,8731,17462000,2000,2,D,8316,8731
I..T..Foundry,20010530,9167,9167,9167,9167,50418500,5500,8,D,8731,9167
I..T..Foundry,20010602,9167,9397,9167,9170,59612020,6480,9,D,9167,9170
I..T..Foundry,20010609,9394,9394,9394,9394,10286430,1095,3,D,9170,9394
I..T..Foundry,20010612,9393,9394,9393,9394,18786900,2000,5,D,9394,9394
I..T..Foundry,20010618,9391,9860,9391,9860,31535704,3243,11,D,9394,9860
I..T..Foundry,20010623,9860,9860,9860,9860,9860000,1000,1,D,9860,9860
I..T..Foundry,20010626,10353,10353,10353,10353,18304104,1768,3,D,9860,10353
I..T..Foundry,20010703,10384,10384,10384,10384,1038400,100,2,D,10353,10384
I..T..Foundry,20010707,10384,10384,10384,10384,15056800,1450,4,D,10384,10384
I..T..Foundry,20010708,10390,10390,10390,10390,10390000,1000,1,D,10384,10390
I..T..Foundry,20010711,10403,10403,10403,10403,3276945,315,1,D,10390,10403
I..T..Foundry,20011223,12525,12525,12525,12525,6262500,500,1,D,10403,12525
I..T..Foundry,20020106,13151,13151,13151,13151,67293667,5117,45,D,12525,13151
I..T..Foundry,20020108,13808,13808,13808,13808,31468432,2279,22,D,13151,13808
I..T..Foundry,20020113,14498,14498,14498,14498,29749896,2052,22,D,13808,14498
I..T..Foundry,20020114,15222,15222,15222,15222,29637234,1947,18,D,14498,15222
I..T..Foundry,20020209,20615,20700,20615,20700,23131063,1121,5,D,15222,20700
I..T..Foundry,20020226,20700,20700,20700,20700,3761314200,181706,3,D,20700,20700
I..T..Foundry,20020227,21735,21735,21735,21735,1086750000,50000,45,D,20700,21735
I..T..Foundry,20020302,22821,22821,22821,22821,141033780,6180,7,D,21735,22821
I..T..Foundry,20020304,23391,23391,23391,23391,467820000,20000,11,D,22821,23391
I..T..Foundry,20020305,23975,23975,23200,23390,1348910725,56389,63,D,23391,23390
I..T..Foundry,20020306,23390,23390,23390,23390,75152070,3213,6,D,23390,23390
I..T..Foundry,20020309,23267,23267,22806,22806,49598197,2157,8,D,23390,22806
I..T..Foundry,20020310,22251,22500,22250,22250,352330597,15786,29,D,22806,22250
I..T..Foundry,20020311,22806,22806,22806,22806,5501559798,241233,14,D,22250,22806
I..T..Foundry,20020312,22806,22806,22805,22806,5739607997,251671,21,D,22806,22806
I..T..Foundry,20020313,22806,22999,22804,22806,5733191196,250400,25,D,22806,22806
I..T..Foundry,20020316,22890,22905,22889,22905,4556001765,198958,44,D,22806,22905
I..T..Foundry,20020317,22906,22906,22895,22900,254126640,11097,29,D,22905,22900
I..T..Foundry,20020318,22999,22999,22999,22999,28702752,1248,1,D,22900,22999
I..T..Foundry,20020319,23014,23573,23014,23573,3995762510,173476,36,D,22999,23573
I..T..Foundry,20020330,24162,24162,24162,24162,36243000,1500,1,D,23573,24162
I..T..Foundry,20020407,24766,24766,24766,24766,24766000,1000,6,D,24162,24766
I..T..Foundry,20020408,25385,25385,25385,25385,44423750,1750,8,D,24766,25385
I..T..Foundry,20020416,26019,26019,26019,26019,66348450,2550,11,D,25385,26019
I..T..Foundry,20020909,35000,35001,35000,35000,40250150,1150,3,D,26019,35000
I..T..Foundry,20020910,35000,35000,35000,35000,77665000,2219,4,D,35000,35000
I..T..Foundry,20020911,35000,35000,35000,35000,52500000,1500,1,D,35000,35000
I..T..Foundry,20020914,35000,35002,35000,35002,113751050,3250,6,D,35000,35002
I..T..Foundry,20021118,4200,5500,4002,5200,87992600,17564,27,D,35002,5200
I..T..Foundry,20021119,5200,5350,5200,5350,17757180,3340,5,D,5200,5350
I..T..Foundry,20021202,5617,5617,5617,5617,5617000,1000,1,D,5350,5617
I..T..Foundry,20021203,5897,5897,5897,5897,16216750,2750,3,D,5617,5897
I..T..Foundry,20021204,6191,6191,6191,6191,6191000,1000,1,D,5897,6191
I..T..Foundry,20021207,6500,6500,6500,6500,6500000,1000,1,D,6191,6500
I..T..Foundry,20021208,6825,6825,6825,6825,6825000,1000,1,D,6500,6825
I..T..Foundry,20021209,7166,7166,7166,7166,7166000,1000,1,D,6825,7166
I..T..Foundry,20021214,7201,7524,6808,6808,111099060,15901,19,D,7166,6808
I..T..Foundry,20021215,6500,6808,6500,6808,22212172,3296,4,D,6808,6808
I..T..Foundry,20021216,6799,6808,6702,6808,92503875,13675,21,D,6808,6808
I..T..Foundry,20021217,6806,6806,6500,6500,9717203,1456,11,D,6808,6500
