<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Indamin,20030208,3203,3203,3203,3203,6406000,2000,1,D,0,3203
Indamin,20030226,3363,3363,3363,3363,15133500,4500,1,D,3203,3363
Indamin,20030302,3531,3531,3531,3531,7062000,2000,1,D,3363,3531
Indamin,20030303,3531,3531,3531,3531,7062000,2000,1,D,3531,3531
Indamin,20030305,3531,3531,3531,3531,3531000,1000,1,D,3531,3531
Indamin,20030309,3707,3707,3707,3707,840451040,226720,390,D,3531,3707
Indamin,20030310,3800,3892,3800,3892,19824800,5096,2,D,3707,3892
Indamin,20030311,4086,4086,4086,4086,20430000,5000,1,D,3892,4086
Indamin,20030330,4280,4290,4280,4290,12418020,2895,3,D,4086,4290
Indamin,20030331,4290,4290,4290,4290,5577000,1300,2,D,4290,4290
Indamin,20030405,4290,4290,4290,4290,2522520,588,2,D,4290,4290
Indamin,20030406,4290,4290,4290,4290,1932087300,450370,17,D,4290,4290
Indamin,20030407,4390,4504,4390,4400,2816470000,640000,49,D,4290,4400
Indamin,20030409,4402,4402,4402,4402,4402000,1000,1,D,4400,4402
Indamin,20030413,4622,4622,4405,4449,17881500,4000,5,D,4402,4449
Indamin,20030415,4671,4671,4671,4671,280260000,60000,11,D,4449,4671
Indamin,20030416,4904,4904,4904,4904,147120000,30000,9,D,4671,4904
Indamin,20030419,5149,5149,5149,5149,154470000,30000,10,D,4904,5149
Indamin,20030420,5406,5406,5406,5406,162180000,30000,8,D,5149,5406
Indamin,20030421,5676,5676,5676,5676,340560000,60000,40,D,5406,5676
Indamin,20030422,5959,5959,5958,5959,4996023600,838400,209,D,5676,5959
Indamin,20030426,5959,5960,5957,5959,249266130,41830,15,D,5959,5959
Indamin,20030427,5959,6256,5959,6256,82849730,13370,6,D,5959,6256
Indamin,20030428,6568,6568,6568,6568,2389241360,363770,99,D,6256,6568
Indamin,20030429,6896,6896,6896,6896,1307764336,189641,46,D,6568,6896
Indamin,20030430,7239,7240,6774,7240,856254335,122491,51,D,6896,7240
Indamin,20030503,7240,7602,7240,7400,253872000,34300,16,D,7240,7400
Indamin,20030504,7399,7400,7100,7400,2575853286,353257,176,D,7400,7400
Indamin,20030505,7420,7770,7400,7402,1471371982,191914,80,D,7400,7402
Indamin,20030506,7749,7770,7749,7770,529825100,68300,53,D,7402,7770
Indamin,20030507,7835,8058,7835,8058,30741350,3865,3,D,7770,8058
Indamin,20030510,8063,8150,8040,8150,450202734,55731,37,D,8058,8150
Indamin,20030511,8150,8557,8150,8557,254358300,29756,29,D,8150,8557
Indamin,20030512,8559,8560,8556,8558,261689751,30578,29,D,8557,8558
Indamin,20030513,8557,8558,8131,8440,620825604,74611,45,D,8558,8440
Indamin,20030514,8300,8555,8200,8550,848852146,101302,65,D,8440,8550
Indamin,20030517,8601,8602,8550,8550,1103047802,128889,53,D,8550,8550
Indamin,20030518,8550,8550,8549,8549,8925620,1044,2,D,8550,8549
Indamin,20030520,8123,8470,8122,8470,1343546755,164065,65,D,8549,8470
Indamin,20030521,8400,8460,8349,8460,287925760,34170,20,D,8470,8460
Indamin,20030524,8200,8436,8200,8436,243876425,29303,29,D,8460,8436
Indamin,20030525,8300,8437,8300,8437,425562207,50855,34,D,8436,8437
Indamin,20030526,8858,8858,8437,8858,1347760822,153332,72,D,8437,8858
Indamin,20030527,8880,9000,8880,8898,912009115,102465,58,D,8858,8898
Indamin,20030528,8700,8898,8700,8897,294777520,33600,17,D,8898,8897
Indamin,20030531,8703,8890,8700,8869,376739040,42922,31,D,8897,8869
Indamin,20030601,8800,8867,8426,8867,2584504252,297450,83,D,8869,8867
Indamin,20030602,8750,8818,8750,8818,54134224,6176,6,D,8867,8818
Indamin,20030603,8600,8745,8499,8745,924773581,106705,32,D,8818,8745
