<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Casting,20010415,7940,7940,7940,7940,9528000,1200,1,D,0,7940
Iran.Casting,20010422,7940,7940,7940,7940,794000,100,1,D,7940,7940
Iran.Casting,20010423,7939,7939,7936,7936,1587500,200,2,D,7940,7936
Iran.Casting,20010424,7930,7940,7927,7940,36489557,4600,12,D,7936,7940
Iran.Casting,20010425,7941,7941,7941,7941,3494040,440,1,D,7940,7941
Iran.Casting,20010428,7942,7950,7942,7946,48228220,6070,4,D,7941,7946
Iran.Casting,20010429,8000,8000,8000,8000,16000000,2000,2,D,7946,8000
Iran.Casting,20010430,8000,8000,8000,8000,1760000,220,1,D,8000,8000
Iran.Casting,20010501,8050,8050,8000,8050,39960000,4980,6,D,8000,8050
Iran.Casting,20010502,8050,8050,8050,8050,6440000,800,1,D,8050,8050
Iran.Casting,20010505,8100,8100,8100,8100,26730000,3300,5,D,8050,8100
Iran.Casting,20010507,8150,8200,8150,8200,19620000,2400,3,D,8100,8200
Iran.Casting,20010508,8290,8300,8290,8300,14105000,1700,3,D,8200,8300
Iran.Casting,20010619,10000,10000,10000,10000,28000000,2800,5,D,8300,10000
Iran.Casting,20010620,9800,9890,9800,9800,30434000,3100,4,D,10000,9800
Iran.Casting,20010624,9699,9699,9590,9590,27441500,2850,5,D,9800,9590
Iran.Casting,20010625,9500,9590,9500,9590,77753075,8156,13,D,9590,9590
Iran.Casting,20010626,9590,9880,9590,9880,162482390,16751,39,D,9590,9880
Iran.Casting,20010627,9930,10100,9930,10100,101304000,10080,30,D,9880,10100
Iran.Casting,20010630,10153,10500,10150,10500,79987400,7800,27,D,10100,10500
Iran.Casting,20010701,10724,10800,10600,10724,116991112,10913,16,D,10500,10724
Iran.Casting,20010702,10800,10860,10800,10860,29283000,2700,6,D,10724,10860
Iran.Casting,20010703,10720,10727,10699,10700,69100950,6449,11,D,10860,10700
Iran.Casting,20010704,10770,10772,10699,10772,5615145690,521408,36,D,10700,10772
Iran.Casting,20010707,10770,10870,10770,10870,981034990,90977,20,D,10772,10870
Iran.Casting,20010709,10999,10999,10999,10999,13198800,1200,4,D,10870,10999
Iran.Casting,20010710,10980,10980,10701,10701,35019000,3260,10,D,10999,10701
Iran.Casting,20010711,10672,10770,10400,10770,151203166,14227,23,D,10701,10770
Iran.Casting,20010714,10750,10850,10750,10850,147345188,13654,19,D,10770,10850
Iran.Casting,20010715,10845,10845,10770,10800,184232350,17070,36,D,10850,10800
Iran.Casting,20010716,10830,10980,10770,10950,235421000,21700,50,D,10800,10950
Iran.Casting,20010813,11200,12025,11100,12025,33255000,2900,8,D,10950,12025
Iran.Casting,20010815,12626,12626,12626,12626,128785200,10200,24,D,12025,12626
Iran.Casting,20010818,13250,13257,13250,13257,826543193,62349,45,D,12626,13257
Iran.Casting,20010819,13000,13200,13000,13001,146574457,11270,18,D,13257,13001
Iran.Casting,20010820,12996,12996,12996,12996,7797600,600,1,D,13001,12996
Iran.Casting,20010821,12500,12500,12500,12500,32250000,2580,4,D,12996,12500
Iran.Casting,20010822,12501,12501,12489,12500,74951280,6000,5,D,12500,12500
Iran.Casting,20010825,12300,12300,12300,12300,12300000,1000,1,D,12500,12300
Iran.Casting,20010901,11875,11875,11875,11875,11875000,1000,1,D,12300,11875
Iran.Casting,20010902,11330,11330,11330,11330,56650000,5000,6,D,11875,11330
Iran.Casting,20010903,11330,11330,11330,11330,57783000,5100,8,D,11330,11330
Iran.Casting,20010904,11328,11340,11250,11340,93191430,8230,13,D,11330,11340
Iran.Casting,20010905,11340,11340,11340,11340,18144000,1600,1,D,11340,11340
Iran.Casting,20010911,11514,11514,11514,11514,23028000,2000,2,D,11340,11514
Iran.Casting,20010912,11518,11520,11518,11520,22577680,1960,3,D,11514,11520
Iran.Casting,20010916,11550,11550,11520,11520,62298000,5400,5,D,11520,11520
Iran.Casting,20010917,11520,11520,11520,11520,23040000,2000,5,D,11520,11520
Iran.Casting,20010919,11490,11520,11490,11520,177905076,15463,10,D,11520,11520
Iran.Casting,20010922,11530,11530,11530,11530,20165970,1749,1,D,11520,11530
Iran.Casting,20010923,11600,11600,11530,11530,40495000,3500,2,D,11530,11530
Iran.Casting,20010924,11530,11550,11530,11550,21917000,1900,5,D,11530,11550
Iran.Casting,20010925,11501,11550,11500,11550,54006200,4694,4,D,11550,11550
Iran.Casting,20010926,11500,11560,11500,11560,18482000,1604,3,D,11550,11560
Iran.Casting,20010929,11560,11560,11560,11560,23120000,2000,3,D,11560,11560
Iran.Casting,20011002,11600,11600,11600,11600,13920000,1200,2,D,11560,11600
Iran.Casting,20011007,11570,11600,11570,11600,55104000,4755,5,D,11600,11600
