<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Kh..A..M.,20010407,3648,3650,3648,3650,36498916,10000,4,D,3648,3650
Iran.Kh..A..M.,20010410,3648,3650,3470,3650,387298238,110430,40,D,3650,3650
Iran.Kh..A..M.,20010411,3650,3650,3650,3650,375950,103,1,D,3650,3650
Iran.Kh..A..M.,20010414,3808,3808,3808,3808,7684544,2018,2,D,3650,3808
Iran.Kh..A..M.,20010415,3832,3980,3832,3980,62119176,15629,12,D,3808,3980
Iran.Kh..A..M.,20010416,4001,4140,4001,4140,27141543,6591,9,D,3980,4140
Iran.Kh..A..M.,20010417,4140,4190,4140,4189,66950864,15996,18,D,4140,4189
Iran.Kh..A..M.,20010418,4171,4171,4010,4010,21718400,5400,3,D,4189,4010
Iran.Kh..A..M.,20010421,4010,4158,4001,4158,24982192,6075,10,D,4010,4158
Iran.Kh..A..M.,20010422,4158,4158,4157,4158,83159000,20000,12,D,4158,4158
Iran.Kh..A..M.,20010423,4150,4250,4150,4250,435156552,103729,45,D,4158,4250
Iran.Kh..A..M.,20010424,4250,4300,4250,4300,9880500,2306,4,D,4250,4300
Iran.Kh..A..M.,20010425,4300,4300,4300,4300,12470000,2900,2,D,4300,4300
Iran.Kh..A..M.,20010428,4300,4300,4300,4300,22630900,5263,4,D,4300,4300
Iran.Kh..A..M.,20010429,4300,4300,4200,4200,23469100,5477,7,D,4300,4200
Iran.Kh..A..M.,20010430,4150,4150,4147,4147,10498000,2530,5,D,4200,4147
Iran.Kh..A..M.,20010501,4147,4147,4147,4147,2036177,491,3,D,4147,4147
Iran.Kh..A..M.,20010502,4100,4100,4099,4099,8928832,2178,3,D,4147,4099
Iran.Kh..A..M.,20010505,4130,4130,4130,4130,5220320,1264,1,D,4099,4130
Iran.Kh..A..M.,20010506,4117,4130,4117,4125,81718068,19812,8,D,4130,4125
Iran.Kh..A..M.,20010507,4125,4125,4110,4110,20578875,5007,2,D,4125,4110
Iran.Kh..A..M.,20010508,4078,4100,4078,4090,84923356,20752,21,D,4110,4090
Iran.Kh..A..M.,20010509,4086,4096,4084,4086,48935773,11973,11,D,4090,4086
Iran.Kh..A..M.,20010512,4086,4086,4086,4086,82757844,20254,12,D,4086,4086
Iran.Kh..A..M.,20010513,4096,4099,4050,4099,32297480,7893,12,D,4086,4099
Iran.Kh..A..M.,20010515,4098,4099,4098,4099,9556868,2332,3,D,4099,4099
Iran.Kh..A..M.,20010516,4089,4089,4089,4089,46467396,11364,6,D,4099,4089
Iran.Kh..A..M.,20010519,4087,4130,4070,4130,159335910,38827,35,D,4089,4130
Iran.Kh..A..M.,20010520,4140,4200,4140,4200,60504920,14487,11,D,4130,4200
