<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Kh..Inv.,20061223,2411,2411,2350,2383,28222813038,11840000,455,D,2411,2383
Iran.Kh..Inv.,20061224,2400,2416,2386,2386,894494938,373908,102,D,2383,2386
Iran.Kh..Inv.,20061225,2395,2395,2340,2376,1947938928,821080,169,D,2386,2376
Iran.Kh..Inv.,20061226,2380,2423,2351,2374,1398979721,589895,119,D,2376,2374
Iran.Kh..Inv.,20061227,2397,2400,2360,2379,793901432,332010,75,D,2374,2379
Iran.Kh..Inv.,20061230,2390,2396,2360,2379,133628290,55962,14,D,2379,2379
Iran.Kh..Inv.,20070101,2343,2383,2332,2376,388759435,165131,37,D,2379,2376
Iran.Kh..Inv.,20070102,2376,2376,2371,2376,73232480,30867,9,D,2376,2376
Iran.Kh..Inv.,20070103,2350,2387,2350,2376,79734975,33758,9,D,2376,2376
Iran.Kh..Inv.,20070113,2329,2376,2329,2376,13946522,5988,2,D,2376,2376
Iran.Kh..Inv.,20070131,2329,2376,2329,2376,256660,110,2,D,2376,2376
Iran.Kh..Inv.,20070221,2329,2376,2329,2376,11668760,5010,4,D,2376,2376
Iran.Kh..Inv.,20070224,2329,2376,2329,2376,4914660,2110,2,D,2376,2376
Iran.Kh..Inv.,20070227,2329,2376,2329,2376,17351520,7450,5,D,2376,2376
Iran.Kh..Inv.,20070228,2329,2376,2329,2376,23313760,10010,3,D,2376,2376
Iran.Kh..Inv.,20070303,2329,2342,2329,2342,2044612780,877850,199,D,2376,2342
Iran.Kh..Inv.,20070304,2349,2386,2342,2343,383794831,163214,38,D,2342,2343
Iran.Kh..Inv.,20070305,2344,2384,2343,2343,181848771,77503,23,D,2343,2343
Iran.Kh..Inv.,20070306,2343,2343,2336,2343,240775790,102830,21,D,2343,2343
Iran.Kh..Inv.,20070307,2330,2343,2330,2343,236699350,101034,24,D,2343,2343
Iran.Kh..Inv.,20070311,2297,2343,2297,2343,5984145,2605,3,D,2343,2343
Iran.Kh..Inv.,20070313,2297,2339,2297,2339,237187037,103237,27,D,2343,2339
Iran.Kh..Inv.,20070314,2297,2340,2293,2339,15568927,6661,6,D,2339,2339
Iran.Kh..Inv.,20070317,2340,2340,2293,2338,62114960,27010,8,D,2339,2338
Iran.Kh..Inv.,20070327,2383,2383,2338,2338,19475809,8173,3,D,2338,2338
Iran.Kh..Inv.,20070328,2338,2338,2338,2338,1952230,835,1,D,2338,2338
Iran.Kh..Inv.,20070331,2382,2383,2338,2338,9616221,4037,5,D,2338,2338
Iran.Kh..Inv.,20070403,2338,2338,2337,2338,70130000,30000,9,D,2338,2338
Iran.Kh..Inv.,20070407,2342,2342,2295,2338,2360811,1010,4,D,2338,2338
Iran.Kh..Inv.,20070410,2380,2384,2369,2369,1945705046,816162,174,D,2338,2369
Iran.Kh..Inv.,20070411,2416,2416,2370,2370,88000023,36811,8,D,2369,2370
Iran.Kh..Inv.,20070414,2370,2381,2370,2370,63294124,26651,10,D,2370,2370
Iran.Kh..Inv.,20070415,2370,2370,2369,2370,56888710,24010,6,D,2370,2370
Iran.Kh..Inv.,20070416,2370,2388,2370,2370,7151700,3010,4,D,2370,2370
Iran.Kh..Inv.,20070417,2370,2370,2370,2370,2979090,1257,1,D,2370,2370
Iran.Kh..Inv.,20070418,2326,2368,2325,2368,93806108,40343,12,D,2370,2368
Iran.Kh..Inv.,20070421,2370,2370,2368,2368,6493780,2740,2,D,2368,2368
Iran.Kh..Inv.,20070422,2360,2368,2360,2368,1203680,510,2,D,2368,2368
Iran.Kh..Inv.,20070423,2332,2368,2332,2368,19719752,8456,5,D,2368,2368
Iran.Kh..Inv.,20070424,2321,2367,2321,2367,44907168,19348,7,D,2368,2367
Iran.Kh..Inv.,20070429,2320,2367,2320,2367,2501430,1078,3,D,2367,2367
Iran.Kh..Inv.,20070501,2320,2367,2320,2367,9964870,4295,2,D,2367,2367
Iran.Kh..Inv.,20070512,2320,2367,2320,2367,23223670,10010,5,D,2367,2367
Iran.Kh..Inv.,20070814,1778,1900,1649,1772,1301242485,734277,104,D,2367,1772
Iran.Kh..Inv.,20070828,1737,1772,1737,1772,10691585,6155,3,D,1772,1772
Iran.Kh..Inv.,20070903,1737,1772,1737,1772,8702720,5010,3,D,1772,1772
Iran.Kh..Inv.,20070908,1737,1768,1737,1768,156347680,90010,21,D,1772,1768
Iran.Kh..Inv.,20070925,1733,1767,1733,1767,19912510,11490,5,D,1768,1767
Iran.Kh..Inv.,20071029,1732,1765,1732,1765,66006850,38110,9,D,1767,1765
Iran.Kh..Inv.,20071030,1730,1765,1730,1765,3477650,2010,3,D,1765,1765
Iran.Kh..Inv.,20071211,1730,1730,1730,1730,173000,100,1,D,1765,1730
Iran.Kh..Inv.,20071223,1696,1724,1696,1724,237609880,140100,32,D,1730,1724
Iran.Kh..Inv.,20071231,1690,1724,1690,1724,9954440,5890,3,D,1724,1724
