<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Khodro,20010325,2798,2802,2798,2800,310368080,110870,115,D,2798,2800
Iran.Khodro,20010326,2801,2810,2797,2798,270595190,96613,98,D,2800,2798
Iran.Khodro,20010327,2795,2800,2795,2795,466405131,166600,120,D,2798,2795
Iran.Khodro,20010328,2800,2849,2796,2849,227566666,80676,104,D,2795,2849
Iran.Khodro,20010331,2840,2848,2800,2838,500068371,177362,161,D,2849,2838
Iran.Khodro,20010403,2840,2870,2838,2868,158053247,55562,86,D,2838,2868
Iran.Khodro,20010407,2868,2930,2868,2900,355157582,122642,144,D,2868,2900
Iran.Khodro,20010408,2920,3020,2903,3004,890538835,299359,270,D,2900,3004
Iran.Khodro,20010409,3028,3140,3020,3102,1349633103,434320,378,D,3004,3102
Iran.Khodro,20010410,3155,3157,3069,3080,1839935140,592395,467,D,3102,3080
Iran.Khodro,20010411,3082,3100,3071,3080,1865310571,604953,458,D,3080,3080
Iran.Khodro,20010414,3084,3110,3080,3092,1343731773,434057,398,D,3080,3092
Iran.Khodro,20010415,3093,3095,3050,3059,707240663,229777,261,D,3092,3059
Iran.Khodro,20010416,3058,3068,3029,3068,816117110,268061,325,D,3059,3068
Iran.Khodro,20010417,3068,3100,3065,3077,1187554196,386136,311,D,3068,3077
Iran.Khodro,20010418,3079,3100,3072,3079,1650557427,534555,387,D,3077,3079
Iran.Khodro,20010421,3079,3101,3078,3087,6598014831,2129585,331,D,3079,3087
Iran.Khodro,20010422,3091,3100,3050,3084,3112179770,1014348,383,D,3087,3084
Iran.Khodro,20010423,3086,3098,3085,3090,1529794816,495008,410,D,3084,3090
Iran.Khodro,20010424,3089,3130,3089,3130,2196484253,705864,419,D,3090,3130
Iran.Khodro,20010425,3202,3286,3130,3286,307808716,94443,107,D,3130,3286
Iran.Khodro,20010428,3450,3450,3360,3450,3313926256,962280,611,D,3286,3450
Iran.Khodro,20010429,3450,3610,3440,3520,2295314354,651640,430,D,3450,3520
Iran.Khodro,20010430,3550,3590,3520,3531,1834287435,515842,424,D,3520,3531
Iran.Khodro,20010501,3549,3559,3502,3536,1473195131,415255,390,D,3531,3536
Iran.Khodro,20010502,3530,3530,3420,3420,1067293261,307281,347,D,3536,3420
Iran.Khodro,20010505,3411,3420,3370,3408,1599525490,470082,419,D,3420,3408
