<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Radiator,20010423,3400,3400,3400,3400,1700000,500,1,D,3400,3400
Iran.Radiator,20010425,3420,3420,3420,3420,10260000,3000,2,D,3400,3420
Iran.Radiator,20010430,3451,3451,3450,3450,5607250,1625,2,D,3420,3450
Iran.Radiator,20010501,3450,3450,3450,3450,6065100,1758,3,D,3450,3450
Iran.Radiator,20010502,3450,3450,3448,3448,12561040,3642,6,D,3450,3448
Iran.Radiator,20010505,3448,3448,3448,3448,10585360,3070,3,D,3448,3448
Iran.Radiator,20010507,3448,3448,3448,3448,613744,178,1,D,3448,3448
Iran.Radiator,20010509,3447,3800,3447,3550,13333431454,3509548,9,D,3448,3550
Iran.Radiator,20010519,3550,3550,3550,3550,1988000,560,1,D,3550,3550
Iran.Radiator,20010521,3540,3540,3540,3540,11699700,3305,1,D,3550,3540
Iran.Radiator,20010523,3600,3600,3600,3600,14612400,4059,4,D,3540,3600
Iran.Radiator,20010526,3601,3601,3600,3600,18001500,5000,4,D,3600,3600
Iran.Radiator,20010527,3600,3600,3600,3600,7200000,2000,1,D,3600,3600
Iran.Radiator,20010528,3550,3550,3550,3550,21300000,6000,3,D,3600,3550
Iran.Radiator,20010529,3500,3550,3500,3550,22925000,6500,11,D,3550,3550
Iran.Radiator,20010530,3500,3550,3500,3550,17550000,5000,3,D,3550,3550
Iran.Radiator,20010602,3550,3550,3550,3550,2130000,600,2,D,3550,3550
Iran.Radiator,20010603,3600,3600,3600,3600,2160000,600,2,D,3550,3600
Iran.Radiator,20010606,3600,3600,3600,3600,15480000,4300,5,D,3600,3600
Iran.Radiator,20010609,3551,3600,3551,3600,38916720,10820,6,D,3600,3600
Iran.Radiator,20010612,3600,3600,3600,3600,18000000,5000,1,D,3600,3600
Iran.Radiator,20010617,3600,3600,3600,3600,10800000,3000,1,D,3600,3600
Iran.Radiator,20010618,3600,3600,3600,3600,18000000,5000,1,D,3600,3600
Iran.Radiator,20010619,3600,3600,3600,3600,36000000,10000,2,D,3600,3600
Iran.Radiator,20010623,3600,3620,3600,3620,90150000,25000,5,D,3600,3620
Iran.Radiator,20010624,3800,3800,3630,3700,9824015000,2619500,3,D,3620,3700
Iran.Radiator,20010807,3200,3200,3200,3200,1600000,500,1,D,3700,3200
Iran.Radiator,20010813,3360,3360,3360,3360,3696000,1100,4,D,3200,3360
Iran.Radiator,20010814,3360,3410,3360,3410,11413520,3382,9,D,3360,3410
Iran.Radiator,20010818,3410,3410,3410,3410,4153380,1218,1,D,3410,3410
Iran.Radiator,20010820,3450,3450,3450,3450,3450000,1000,1,D,3410,3450
Iran.Radiator,20010821,3500,3520,3500,3520,26380000,7500,2,D,3450,3520
Iran.Radiator,20010825,3580,3580,3580,3580,3580000,1000,2,D,3520,3580
Iran.Radiator,20010826,3580,3580,3580,3580,2398600,670,2,D,3580,3580
Iran.Radiator,20010827,3582,3582,3581,3581,4115704,1149,2,D,3580,3581
Iran.Radiator,20010829,3581,3581,3581,3581,4297200,1200,4,D,3581,3581
Iran.Radiator,20010904,3581,3581,3581,3581,6463705,1805,2,D,3581,3581
Iran.Radiator,20010919,3578,3578,3578,3578,397158,111,3,D,3581,3578
Iran.Radiator,20010922,3578,3650,3578,3650,17955997,5000,6,D,3578,3650
Iran.Radiator,20011007,3625,3625,3625,3625,627125,173,1,D,3650,3625
Iran.Radiator,20011017,3616,3625,3616,3625,25015800,6910,5,D,3625,3625
Iran.Radiator,20011030,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011126,3625,3625,3625,3625,3625000,1000,2,D,3625,3625
Iran.Radiator,20011128,3625,3625,3625,3625,3625000,1000,2,D,3625,3625
Iran.Radiator,20011202,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011203,3625,3625,3625,3625,1812500,500,1,D,3625,3625
Iran.Radiator,20011205,3625,3625,3625,3625,725000,200,1,D,3625,3625
Iran.Radiator,20011209,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011210,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011211,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011212,3624,3625,3624,3625,36812892,10158,2,D,3625,3625
Iran.Radiator,20011215,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011217,3623,3625,3623,3625,4348117,1200,3,D,3625,3625
Iran.Radiator,20011218,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011219,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011222,3625,3625,3625,3625,362500,100,1,D,3625,3625
Iran.Radiator,20011223,3625,3625,3625,3625,6463375,1783,4,D,3625,3625
Iran.Radiator,20011224,3625,3625,3625,3625,1812500,500,2,D,3625,3625
Iran.Radiator,20011226,3625,3625,3625,3625,1812500,500,1,D,3625,3625
Iran.Radiator,20011230,3626,3626,3626,3626,18130000,5000,5,D,3625,3626
Iran.Radiator,20011231,3626,3626,3626,3626,725200,200,1,D,3626,3626
Iran.Radiator,20020106,3628,3628,3627,3627,7255017,2000,2,D,3626,3627
Iran.Radiator,20020107,3628,3628,3627,3627,7255000,2000,2,D,3627,3627
Iran.Radiator,20020108,3627,3627,3627,3627,7254000,2000,2,D,3627,3627
Iran.Radiator,20020112,3627,3627,3627,3627,3627000,1000,1,D,3627,3627
Iran.Radiator,20020122,3630,3630,3630,3630,7260000,2000,1,D,3627,3630
Iran.Radiator,20020128,3630,3630,3630,3630,1361250,375,1,D,3630,3630
Iran.Radiator,20020129,3632,3632,3631,3631,14960720,4120,3,D,3630,3631
Iran.Radiator,20020130,3631,3631,3631,3631,363100,100,1,D,3631,3631
Iran.Radiator,20020202,3631,3631,3631,3631,363100,100,1,D,3631,3631
Iran.Radiator,20020203,3631,3631,3631,3631,363100,100,1,D,3631,3631
Iran.Radiator,20020204,3631,3631,3631,3631,363100,100,1,D,3631,3631
Iran.Radiator,20020205,3631,3631,3631,3631,363100,100,1,D,3631,3631
Iran.Radiator,20020206,3631,3631,3631,3631,363100,100,1,D,3631,3631
Iran.Radiator,20020209,3631,3631,3631,3631,399410,110,3,D,3631,3631
Iran.Radiator,20020210,3630,3630,3630,3630,363000,100,1,D,3631,3630
Iran.Radiator,20020212,3630,3630,3630,3630,181500,50,1,D,3630,3630
Iran.Radiator,20020213,3628,3628,3628,3628,1814000,500,1,D,3630,3628
Iran.Radiator,20020216,3628,3628,3628,3628,181400,50,1,D,3628,3628
Iran.Radiator,20020217,3626,3626,3620,3620,31838200,8795,5,D,3628,3620
Iran.Radiator,20020218,3620,3620,3619,3619,7780900,2150,2,D,3620,3619
Iran.Radiator,20020220,3610,3610,3610,3610,361000,100,1,D,3619,3610
Iran.Radiator,20020224,3609,3609,3609,3609,360900,100,1,D,3610,3609
Iran.Radiator,20020225,3607,3607,3607,3607,360700,100,1,D,3609,3607
Iran.Radiator,20020226,3607,3607,3607,3607,180350,50,1,D,3607,3607
Iran.Radiator,20020227,3606,3606,3606,3606,721200,200,1,D,3607,3606
Iran.Radiator,20020302,3604,3604,3604,3604,360400,100,1,D,3606,3604
Iran.Radiator,20020304,3603,3603,3603,3603,360300,100,1,D,3604,3603
Iran.Radiator,20020305,3599,3599,3599,3599,359900,100,1,D,3603,3599
Iran.Radiator,20020306,3597,3597,3597,3597,359700,100,1,D,3599,3597
Iran.Radiator,20020309,3595,3595,3595,3595,359500,100,1,D,3597,3595
Iran.Radiator,20020311,3590,3590,3590,3590,359000,100,1,D,3595,3590
Iran.Radiator,20020312,3589,3589,3589,3589,358900,100,1,D,3590,3589
