<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mashad.Wheel,20040306,1520,1541,1500,1515,8959355595,5912600,1686,D,1520,1515
Mashad.Wheel,20040307,1590,1590,1528,1528,15915280,10010,4,D,1515,1528
Mashad.Wheel,20040308,1604,1604,1555,1555,32095550,20010,6,D,1528,1555
Mashad.Wheel,20040309,1632,1632,1583,1583,32655830,20010,18,D,1555,1583
Mashad.Wheel,20040310,1662,1662,1590,1633,1457614242,892155,322,D,1583,1633
Mashad.Wheel,20040313,1601,1620,1553,1596,319091194,199886,103,D,1633,1596
Mashad.Wheel,20040314,1550,1583,1520,1548,414760318,267814,92,D,1596,1548
Mashad.Wheel,20040315,1548,1579,1500,1548,89870553,58042,42,D,1548,1548
Mashad.Wheel,20040316,1550,1590,1549,1557,121357806,77925,37,D,1548,1557
Mashad.Wheel,20040317,1560,1634,1550,1607,90329320,56185,31,D,1557,1607
Mashad.Wheel,20040327,1687,1687,1636,1636,34272582,20316,14,D,1607,1636
Mashad.Wheel,20040328,1650,1717,1650,1706,83866686,48923,20,D,1636,1706
Mashad.Wheel,20040329,1740,1750,1706,1732,131176330,75730,40,D,1706,1732
Mashad.Wheel,20040330,1745,1818,1743,1768,151600343,85722,66,D,1732,1768
Mashad.Wheel,20040403,1800,1856,1800,1827,96553050,52163,31,D,1768,1827
Mashad.Wheel,20040404,1918,1918,1853,1865,63191770,33050,25,D,1827,1865
Mashad.Wheel,20040405,1958,1958,1945,1945,122911362,62774,24,D,1865,1945
Mashad.Wheel,20040406,2042,2042,2042,2042,167033558,81799,43,D,1945,2042
Mashad.Wheel,20040407,2144,2144,2100,2137,622400324,291197,115,D,2042,2137
Mashad.Wheel,20040410,2243,2243,2190,2190,82624861,36837,25,D,2137,2190
Mashad.Wheel,20040412,2299,2299,2214,2214,36806140,16010,9,D,2190,2214
Mashad.Wheel,20040413,2324,2324,2324,2324,694241548,298727,147,D,2214,2324
Mashad.Wheel,20040414,2324,2439,2324,2342,651473538,278144,131,D,2324,2342
Mashad.Wheel,20040417,2342,2399,2328,2341,187738670,80164,68,D,2342,2341
Mashad.Wheel,20040418,2318,2318,2240,2291,186355978,81334,42,D,2341,2291
Mashad.Wheel,20040421,2177,2246,2177,2246,61638091,28313,27,D,2291,2246
Mashad.Wheel,20040424,2134,2215,2134,2215,42375648,19857,19,D,2246,2215
Mashad.Wheel,20040425,2105,2149,2105,2149,91224825,43337,26,D,2215,2149
Mashad.Wheel,20040426,2042,2141,2042,2141,10974698,5374,7,D,2149,2141
Mashad.Wheel,20040427,2034,2133,2034,2133,9741816,4789,7,D,2141,2133
Mashad.Wheel,20040428,2027,2034,2027,2027,430043798,212146,71,D,2133,2027
Mashad.Wheel,20040501,2031,2042,1992,2018,108644502,53908,31,D,2027,2018
Mashad.Wheel,20040502,1986,2006,1975,2006,42800158,21617,11,D,2018,2006
Mashad.Wheel,20040503,1906,1992,1906,1992,25711675,13290,11,D,2006,1992
Mashad.Wheel,20040504,1893,1928,1893,1928,89635444,47279,27,D,1992,1928
Mashad.Wheel,20040505,1890,1899,1832,1899,47988497,25949,18,D,1928,1899
Mashad.Wheel,20040508,1805,1808,1805,1805,145395003,80541,33,D,1899,1805
Mashad.Wheel,20040509,1804,1805,1721,1777,172669694,97139,29,D,1805,1777
Mashad.Wheel,20040510,1790,1865,1790,1832,197979089,108053,43,D,1777,1832
Mashad.Wheel,20040511,1923,1923,1800,1860,810735632,435749,104,D,1832,1860
Mashad.Wheel,20040512,1860,1860,1770,1838,76350778,41888,24,D,1860,1838
Mashad.Wheel,20040515,1838,1838,1747,1819,70021390,38813,11,D,1838,1819
Mashad.Wheel,20040516,1797,1801,1729,1801,34066477,19429,10,D,1819,1801
Mashad.Wheel,20040517,1711,1788,1711,1788,17333200,10130,4,D,1801,1788
Mashad.Wheel,20040518,1699,1728,1699,1728,82848675,48746,21,D,1788,1728
Mashad.Wheel,20040519,1695,1705,1651,1705,55799509,33232,26,D,1728,1705
Mashad.Wheel,20040522,1688,1700,1661,1698,73593277,43428,20,D,1705,1698
Mashad.Wheel,20040523,1698,1698,1620,1675,58633410,35489,21,D,1698,1675
Mashad.Wheel,20040524,1600,1616,1592,1616,84950588,53228,22,D,1675,1616
Mashad.Wheel,20040525,1550,1620,1550,1585,98887357,62509,24,D,1616,1585
Mashad.Wheel,20040615,1601,1601,1240,1297,177281907,136629,45,D,1585,1297
Mashad.Wheel,20040616,1289,1300,1253,1282,128718494,100402,31,D,1297,1282
Mashad.Wheel,20040619,1293,1300,1260,1287,297225354,230909,53,D,1282,1287
Mashad.Wheel,20040620,1280,1299,1251,1282,152036811,118564,48,D,1287,1282
Mashad.Wheel,20040621,1280,1282,1260,1279,87292700,68236,33,D,1282,1279
Mashad.Wheel,20040622,1292,1340,1292,1293,35852215,27195,16,D,1279,1293
Mashad.Wheel,20040623,1302,1357,1302,1351,134342037,99383,20,D,1293,1351
Mashad.Wheel,20040626,1418,1418,1381,1381,46807810,33010,12,D,1351,1381
Mashad.Wheel,20040627,1450,1450,1450,1450,104980000,72400,19,D,1381,1450
Mashad.Wheel,20040628,1522,1522,1522,1522,498165820,327310,91,D,1450,1522
Mashad.Wheel,20040629,1521,1528,1456,1501,244699856,163015,60,D,1522,1501
Mashad.Wheel,20040630,1515,1576,1508,1554,126560676,81401,42,D,1501,1554
Mashad.Wheel,20040703,1600,1620,1523,1581,85974670,54020,31,D,1554,1581
Mashad.Wheel,20040704,1622,1660,1620,1645,121100346,73604,40,D,1581,1645
Mashad.Wheel,20040705,1640,1700,1597,1654,52028005,31210,22,D,1645,1654
Mashad.Wheel,20040706,1619,1620,1572,1618,71151895,44555,21,D,1654,1618
Mashad.Wheel,20040707,1538,1579,1538,1579,53542804,34813,15,D,1618,1579
Mashad.Wheel,20040710,1501,1571,1501,1571,10777880,7180,6,D,1579,1571
Mashad.Wheel,20040711,1493,1571,1493,1571,266534,178,2,D,1571,1571
Mashad.Wheel,20040712,1493,1569,1493,1569,1502718,1006,3,D,1571,1569
Mashad.Wheel,20040713,1491,1563,1491,1563,7737519,5189,3,D,1569,1563
Mashad.Wheel,20040714,1485,1561,1485,1561,1652080,1112,2,D,1563,1561
Mashad.Wheel,20040717,1483,1559,1483,1559,1999844,1348,2,D,1561,1559
Mashad.Wheel,20040718,1482,1553,1482,1553,7729340,5215,4,D,1559,1553
Mashad.Wheel,20040719,1476,1541,1476,1541,15293486,10361,5,D,1553,1541
Mashad.Wheel,20040720,1464,1513,1464,1513,37729234,25771,11,D,1541,1513
Mashad.Wheel,20040724,1438,1464,1438,1464,67961578,47261,22,D,1513,1464
Mashad.Wheel,20040725,1391,1461,1391,1461,3724407,2677,6,D,1464,1461
Mashad.Wheel,20040726,1388,1389,1388,1388,324846856,234037,80,D,1461,1388
Mashad.Wheel,20040727,1391,1457,1391,1430,300674970,210117,60,D,1388,1430
Mashad.Wheel,20040728,1430,1476,1430,1458,73358891,49810,19,D,1430,1458
Mashad.Wheel,20040731,1458,1458,1387,1436,67835094,47568,16,D,1458,1436
Mashad.Wheel,20040801,1387,1432,1365,1432,5746340,4198,4,D,1436,1432
Mashad.Wheel,20040802,1361,1417,1361,1417,20638764,15164,13,D,1432,1417
Mashad.Wheel,20040803,1361,1381,1347,1381,49774321,36929,10,D,1417,1381
Mashad.Wheel,20040804,1312,1373,1312,1373,9939010,7575,6,D,1381,1373
Mashad.Wheel,20040807,1305,1311,1305,1305,163137874,124960,50,D,1373,1305
Mashad.Wheel,20040808,1304,1304,1242,1292,102997136,79663,19,D,1305,1292
Mashad.Wheel,20040809,1302,1311,1245,1285,87076475,67724,27,D,1292,1285
Mashad.Wheel,20040810,1305,1308,1290,1292,49069921,37722,15,D,1285,1292
Mashad.Wheel,20040811,1307,1312,1292,1304,100780336,77249,33,D,1292,1304
Mashad.Wheel,20040814,1309,1312,1250,1280,95080096,74234,19,D,1304,1280
Mashad.Wheel,20040815,1275,1275,1246,1272,25540080,20338,11,D,1280,1272
Mashad.Wheel,20040816,1241,1245,1210,1225,98904363,80719,28,D,1272,1225
Mashad.Wheel,20040817,1225,1225,1224,1224,15936240,13010,7,D,1225,1224
Mashad.Wheel,20040818,1225,1285,1200,1227,42291380,34316,14,D,1224,1227
Mashad.Wheel,20040821,1249,1250,1249,1249,243617950,194899,31,D,1227,1249
Mashad.Wheel,20040822,1250,1280,1249,1249,25688340,20537,10,D,1249,1249
Mashad.Wheel,20040823,1285,1302,1280,1280,72396720,56087,18,D,1249,1280
Mashad.Wheel,20040824,1300,1320,1289,1289,32555222,24853,11,D,1280,1289
Mashad.Wheel,20040825,1290,1290,1269,1284,35657226,27914,8,D,1289,1284
Mashad.Wheel,20040828,1269,1269,1220,1267,43910231,35125,18,D,1284,1267
Mashad.Wheel,20040829,1267,1320,1267,1272,17870238,13780,12,D,1267,1272
Mashad.Wheel,20040831,1281,1282,1270,1272,73893729,58003,14,D,1272,1272
Mashad.Wheel,20040901,1268,1273,1268,1271,35048711,27581,15,D,1272,1271
Mashad.Wheel,20040904,1270,1273,1269,1270,41096048,32337,14,D,1271,1270
Mashad.Wheel,20040905,1250,1268,1207,1249,55744219,45055,20,D,1270,1249
Mashad.Wheel,20040906,1249,1280,1202,1238,61344952,49742,18,D,1249,1238
Mashad.Wheel,20040907,1248,1285,1239,1241,24845860,19886,13,D,1238,1241
Mashad.Wheel,20040908,1250,1250,1239,1241,13533000,10845,12,D,1241,1241
Mashad.Wheel,20040911,1260,1289,1250,1250,25689470,20154,8,D,1241,1250
Mashad.Wheel,20040912,1299,1312,1289,1299,80685164,61650,22,D,1250,1299
Mashad.Wheel,20040914,1363,1363,1311,1311,19329546,14182,7,D,1299,1311
Mashad.Wheel,20040915,1376,1376,1364,1364,82298440,59810,15,D,1311,1364
Mashad.Wheel,20040918,1432,1432,1395,1395,47914350,33460,14,D,1364,1395
Mashad.Wheel,20040919,1464,1464,1464,1464,282004464,192626,38,D,1395,1464
Mashad.Wheel,20040920,1537,1537,1537,1537,205818133,133909,34,D,1464,1537
Mashad.Wheel,20040921,1613,1613,1560,1560,35933884,22278,12,D,1537,1560
Mashad.Wheel,20040922,1638,1638,1638,1638,163123506,99587,37,D,1560,1638
Mashad.Wheel,20040925,1719,1719,1718,1718,179156751,104262,41,D,1638,1718
Mashad.Wheel,20040926,1803,1803,1803,1803,1663613676,922692,209,D,1718,1803
Mashad.Wheel,20040927,1751,1803,1713,1730,280452214,162032,57,D,1803,1730
Mashad.Wheel,20040928,1644,1644,1644,1644,145212876,88329,39,D,1730,1644
Mashad.Wheel,20040929,1600,1628,1571,1609,172497331,107165,44,D,1644,1609
Mashad.Wheel,20041002,1600,1600,1530,1544,125941140,81542,28,D,1609,1544
Mashad.Wheel,20041003,1550,1553,1470,1544,91796435,59415,23,D,1544,1544
Mashad.Wheel,20041004,1530,1536,1510,1536,37791725,24806,11,D,1544,1536
Mashad.Wheel,20041005,1500,1525,1460,1508,60255456,40496,24,D,1536,1508
Mashad.Wheel,20041006,1450,1550,1450,1504,69160986,45989,23,D,1508,1504
Mashad.Wheel,20041009,1552,1579,1540,1575,135345029,85899,31,D,1504,1575
Mashad.Wheel,20041010,1569,1573,1525,1573,9248835,5955,3,D,1575,1573
Mashad.Wheel,20041011,1524,1557,1500,1557,29439440,19434,10,D,1573,1557
Mashad.Wheel,20041012,1480,1525,1480,1525,44415250,30010,11,D,1557,1525
Mashad.Wheel,20041013,1480,1601,1480,1561,101436592,64743,29,D,1525,1561
Mashad.Wheel,20041016,1600,1639,1600,1623,126953961,78174,24,D,1561,1623
Mashad.Wheel,20041017,1638,1638,1623,1623,10236643,6271,6,D,1623,1623
Mashad.Wheel,20041018,1588,1619,1588,1619,11326242,7128,9,D,1623,1619
Mashad.Wheel,20041019,1591,1606,1540,1606,18567880,12030,4,D,1619,1606
Mashad.Wheel,20041020,1526,1610,1526,1551,217444071,140107,49,D,1606,1551
Mashad.Wheel,20041023,1628,1628,1628,1628,122870044,75473,19,D,1551,1628
Mashad.Wheel,20041024,1709,1709,1709,1709,162139666,94874,24,D,1628,1709
Mashad.Wheel,20041025,1794,1794,1780,1791,962956242,537401,124,D,1709,1791
Mashad.Wheel,20041026,1793,1799,1702,1736,398608194,229500,73,D,1791,1736
Mashad.Wheel,20041027,1736,1822,1736,1800,590004097,327715,94,D,1736,1800
Mashad.Wheel,20041030,1800,1801,1740,1795,258989454,144234,42,D,1800,1795
Mashad.Wheel,20041031,1790,1790,1780,1784,170905755,95794,32,D,1795,1784
Mashad.Wheel,20041101,1732,1750,1695,1724,160283940,92944,27,D,1784,1724
Mashad.Wheel,20041102,1724,1724,1710,1720,44602737,26015,15,D,1724,1720
Mashad.Wheel,20041103,1710,1727,1683,1719,264034938,153597,40,D,1720,1719
Mashad.Wheel,20041106,1700,1800,1700,1729,215740858,124752,31,D,1719,1729
Mashad.Wheel,20041107,1799,1815,1729,1777,325977724,183420,59,D,1729,1777
Mashad.Wheel,20041108,1850,1865,1800,1863,215976210,115922,36,D,1777,1863
Mashad.Wheel,20041109,1888,1913,1865,1893,335072841,176939,55,D,1863,1893
Mashad.Wheel,20041110,1897,1900,1840,1871,154827825,82736,36,D,1893,1871
Mashad.Wheel,20041113,1872,1964,1871,1921,173525440,90302,37,D,1871,1921
Mashad.Wheel,20041115,1880,1921,1840,1876,306032001,163113,53,D,1921,1876
Mashad.Wheel,20041116,1883,1930,1820,1885,103483337,54754,30,D,1876,1885
Mashad.Wheel,20041117,1850,1890,1820,1854,164764657,88823,37,D,1885,1854
Mashad.Wheel,20041120,1935,1935,1840,1868,58057684,30733,21,D,1854,1868
Mashad.Wheel,20041121,1885,1961,1885,1948,227950391,116995,51,D,1868,1948
Mashad.Wheel,20041122,2045,2045,2045,2045,250318225,122405,40,D,1948,2045
Mashad.Wheel,20041123,2147,2147,2147,2147,408936943,190469,46,D,2045,2147
Mashad.Wheel,20041205,2213,2770,2180,2256,2405743725,1066220,179,D,2147,2256
Mashad.Wheel,20041206,2368,2368,2304,2366,5296858787,2238221,387,D,2256,2366
Mashad.Wheel,20041207,2380,2450,2324,2368,2039222803,861028,204,D,2366,2368
Mashad.Wheel,20041211,2370,2468,2355,2394,1210396431,505575,135,D,2368,2394
Mashad.Wheel,20041212,2446,2447,2286,2347,631720335,269098,107,D,2394,2347
Mashad.Wheel,20041213,2300,2416,2283,2360,1735093274,734946,200,D,2347,2360
Mashad.Wheel,20041214,2350,2350,2242,2294,890704422,388127,92,D,2360,2294
Mashad.Wheel,20041215,2340,2340,2300,2319,395625744,170588,78,D,2294,2319
Mashad.Wheel,20041218,2327,2434,2327,2386,771848987,323368,109,D,2319,2386
Mashad.Wheel,20041219,2504,2504,2450,2479,1346985921,543272,143,D,2386,2479
Mashad.Wheel,20041220,2477,2529,2412,2477,922563289,372421,103,D,2479,2477
Mashad.Wheel,20041221,2501,2600,2450,2566,736543308,287025,83,D,2477,2566
Mashad.Wheel,20041222,2600,2692,2551,2626,1199742094,456787,144,D,2566,2626
Mashad.Wheel,20041225,2636,2680,2626,2656,686821719,258592,107,D,2626,2656
Mashad.Wheel,20041226,2669,2669,2600,2634,613299534,232833,75,D,2656,2634
Mashad.Wheel,20041227,2600,2648,2551,2601,962844801,370135,122,D,2634,2601
Mashad.Wheel,20041228,2561,2561,2471,2498,459794376,184002,66,D,2601,2498
Mashad.Wheel,20041229,2469,2499,2390,2416,458493382,189768,86,D,2498,2416
Mashad.Wheel,20050101,2383,2421,2370,2392,304709937,127376,57,D,2416,2392
Mashad.Wheel,20050102,2395,2500,2370,2419,781537281,322995,67,D,2392,2419
