<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Bahman.Dizel.Co,20151129,3400,3400,3400,3400,3.4E+11,100000000,25187,D,1000,3400
S*Bahman.Dizel.Co,20151130,3570,3570,3570,3570,22443183420,6286606,2706,D,3400,3570
S*Bahman.Dizel.Co,20151201,3675,3675,3530,3607,1.73064E+11,47975033,23313,D,3570,3535
S*Bahman.Dizel.Co,20151205,3592,3606,3541,3574,38209131739,10690511,5998,D,3607,3541
S*Bahman.Dizel.Co,20151206,3552,3577,3465,3505,19722222508,5626717,2851,D,3574,3485
S*Bahman.Dizel.Co,20151207,3475,3548,3460,3498,13001329139,3717043,1770,D,3505,3480
S*Bahman.Dizel.Co,20151208,3461,3533,3439,3489,8552746569,2451488,1316,D,3498,3500
S*Bahman.Dizel.Co,20151209,3456,3598,3456,3559,14303861984,4019005,1956,D,3489,3590
S*Bahman.Dizel.Co,20151213,3559,3620,3542,3582,8188276247,2286154,1060,D,3559,3570
S*Bahman.Dizel.Co,20151214,3579,3655,3528,3625,25006428130,6897879,2563,D,3582,3640
S*Bahman.Dizel.Co,20151215,3626,3680,3626,3662,14400814960,3932406,1459,D,3625,3663
S*Bahman.Dizel.Co,20151216,3698,3725,3621,3654,10520877800,2879223,1230,D,3662,3650
S*Bahman.Dizel.Co,20151219,3625,3625,3530,3563,5914928858,1659947,675,D,3654,3541
S*Bahman.Dizel.Co,20151220,3500,3560,3500,3516,3562597456,1013312,375,D,3563,3529
S*Bahman.Dizel.Co,20151221,3549,3619,3538,3566,3904769689,1095022,432,D,3516,3573
S*Bahman.Dizel.Co,20151222,3560,3584,3500,3516,3372097946,958989,486,D,3566,3518
S*Bahman.Dizel.Co,20151223,3520,3535,3495,3503,4111846234,1173771,470,D,3516,3497
S*Bahman.Dizel.Co,20151226,3500,3550,3481,3496,3066589879,877172,352,D,3503,3503
S*Bahman.Dizel.Co,20151227,3500,3610,3484,3561,6708424252,1883776,786,D,3496,3600
S*Bahman.Dizel.Co,20151228,3515,3632,3515,3586,4545440887,1267403,532,D,3561,3560
S*Bahman.Dizel.Co,20151230,3550,3753,3550,3677,12152592870,3304639,1167,D,3586,3656
S*Bahman.Dizel.Co,20160102,3676,3677,3601,3628,3881749885,1070082,490,D,3677,3636
S*Bahman.Dizel.Co,20160103,3610,3640,3577,3623,7790748344,2150438,748,D,3628,3640
S*Bahman.Dizel.Co,20160104,3619,3710,3619,3672,8764130334,2386693,893,D,3623,3665
