<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*IranKhodroDiesel,20180818,495,495,495,495,2393997210,4836358,181,D,505,495
S*IranKhodroDiesel,20180820,450,453,450,450,17766485730,39462466,2195,D,495,453
S*IranKhodroDiesel,20180825,481,539,481,514,6693746824,13026046,564,D,450,539
S*IranKhodroDiesel,20180827,570,570,534,563,20830767480,36977388,1771,D,514,534
S*IranKhodroDiesel,20180829,555,555,539,551,6958594285,12638055,579,D,563,539
S*IranKhodroDiesel,20180901,514,520,514,515,17785272178,34547665,1847,D,551,520
S*IranKhodroDiesel,20180903,533,533,531,533,18507251214,34732204,1731,D,515,531
S*IranKhodroDiesel,20180905,549,568,549,552,24808655767,44927176,2230,D,533,568
S*IranKhodroDiesel,20180908,575,620,575,595,22078982310,37119495,1475,D,552,620
S*IranKhodroDiesel,20180910,658,672,658,662,36702083936,55466229,2583,D,595,672
S*IranKhodroDiesel,20180912,750,870,750,802,25230509550,31463357,1293,D,662,870
S*IranKhodroDiesel,20180915,1040,1040,930,1008,72228404000,71645078,3502,D,802,930
S*IranKhodroDiesel,20180917,920,939,920,923,1.0323E+11,111806308,5170,D,1008,939
S*IranKhodroDiesel,20180922,1040,1040,1040,1040,1.03477E+11,99496856,4725,D,923,1040
S*IranKhodroDiesel,20180924,970,979,970,971,92421025153,95206348,5154,D,1040,979
S*IranKhodroDiesel,20180926,980,980,900,957,35056635440,36627032,1915,D,971,900
S*IranKhodroDiesel,20180929,950,1000,950,970,59503921850,61339305,2739,D,957,1000
S*IranKhodroDiesel,20181001,1150,1150,1048,1118,87620843030,78398591,3431,D,970,1048
S*IranKhodroDiesel,20181003,920,950,920,925,72785250010,78711461,3845,D,1118,950
S*IranKhodroDiesel,20181006,1030,1030,920,1007,59964362160,59555169,2711,D,925,920
S*IranKhodroDiesel,20181008,810,830,810,811,61458359310,75755235,4076,D,1007,830
S*IranKhodroDiesel,20181010,866,866,811,829,22859655022,27565547,945,D,811,811
S*IranKhodroDiesel,20181013,830,830,720,765,11156958270,14575954,677,D,829,720
S*IranKhodroDiesel,20181015,800,860,800,831,22250770440,26770770,1077,D,765,860
S*IranKhodroDiesel,20181017,775,830,775,800,22759195875,28432276,1164,D,831,830
S*IranKhodroDiesel,20181020,897,897,888,896,61394601723,68504551,3408,D,800,888
S*IranKhodroDiesel,20181022,845,845,810,827,11398181565,13782751,557,D,896,810
S*IranKhodroDiesel,20181024,740,740,722,735,19487310890,26496178,1319,D,827,722
S*IranKhodroDiesel,20181027,736,740,736,737,16914739804,22966276,1223,D,735,740
S*IranKhodroDiesel,20181029,810,820,810,811,40448782920,49853878,2474,D,737,820
S*IranKhodroDiesel,20181031,810,820,810,812,18710239630,23030597,1125,D,811,820
S*IranKhodroDiesel,20181103,810,810,780,807,19018424910,23561396,1218,D,812,780
S*IranKhodroDiesel,20181105,783,820,783,803,13142947304,16359920,779,D,807,820
S*IranKhodroDiesel,20181110,821,821,800,818,26861290197,32818947,1811,D,803,800
S*IranKhodroDiesel,20181112,814,825,814,818,26982386079,32982678,1624,D,818,825
S*IranKhodroDiesel,20181114,810,810,810,810,17896377330,22094293,1251,D,818,810
S*IranKhodroDiesel,20181117,781,781,770,780,17268164595,22136272,1304,D,810,770
S*IranKhodroDiesel,20181119,770,770,770,770,20018039580,25997454,1357,D,780,770
