<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Kerman.Khodro.E.,20180818,1150,1150,1150,1150,39758840750,34572905,790,D,1000,1150
S*Kerman.Khodro.E.,20180820,1170,1170,1152,1152,26507072358,22999787,550,D,1150,1152
S*Kerman.Khodro.E.,20180825,1160,1160,1154,1154,9901627720,8577362,255,D,1152,1154
S*Kerman.Khodro.E.,20180827,1190,1190,1155,1157,8756179250,7567640,215,D,1154,1155
S*Kerman.Khodro.E.,20180829,1154,1154,1150,1153,15307277172,13278520,425,D,1157,1150
S*Kerman.Khodro.E.,20180901,1150,1154,1150,1150,6190937880,5383026,269,D,1153,1154
S*Kerman.Khodro.E.,20180903,1154,1154,1150,1150,19042098558,16552877,463,D,1150,1150
S*Kerman.Khodro.E.,20180905,1154,1154,1150,1152,5645446676,4898884,191,D,1150,1150
S*Kerman.Khodro.E.,20180908,1180,1200,1180,1184,3681776780,3109808,167,D,1152,1200
S*Kerman.Khodro.E.,20180910,1301,1301,1301,1301,9815324246,7544446,339,D,1184,1301
S*Kerman.Khodro.E.,20180912,1370,1370,1370,1370,34121603600,24906280,1076,D,1301,1370
S*Kerman.Khodro.E.,20180915,1395,1500,1395,1403,2.58799E+11,184485173,8985,D,1370,1500
S*Kerman.Khodro.E.,20180917,1500,1500,1500,1500,3.18604E+11,212402485,7571,D,1403,1500
S*Kerman.Khodro.E.,20180922,1500,1500,1500,1500,2.05465E+11,136976341,4790,D,1500,1500
S*Kerman.Khodro.E.,20180924,1500,1500,1500,1500,1.75765E+11,117176587,4075,D,1500,1500
S*Kerman.Khodro.E.,20180926,1575,1575,1575,1575,2.6465E+11,168031850,4032,D,1500,1575
S*Kerman.Khodro.E.,20180929,1902,2310,1902,2009,1.20799E+11,60116936,2587,D,1575,2310
S*Kerman.Khodro.E.,20181001,2500,2550,2500,2507,4.34156E+11,173188420,7359,D,2009,2550
S*Kerman.Khodro.E.,20181003,2068,2533,2068,2301,91860761568,39918696,1495,D,2507,2533
S*Kerman.Khodro.E.,20181006,2888,2888,2305,2734,1.37776E+11,50399062,2840,D,2301,2305
S*Kerman.Khodro.E.,20181008,2300,2300,2297,2299,78879059743,34317572,1668,D,2734,2297
S*Kerman.Khodro.E.,20181010,2280,2280,1920,2060,83647391280,40602092,1333,D,2299,1920
S*Kerman.Khodro.E.,20181013,1920,1920,1570,1728,72665475540,42057057,1379,D,2060,1570
S*Kerman.Khodro.E.,20181015,1860,2000,1860,1924,1.33793E+11,69528130,2747,D,1728,2000
S*Kerman.Khodro.E.,20181017,1880,1899,1880,1886,1.44696E+11,76733276,3452,D,1924,1899
S*Kerman.Khodro.E.,20181020,2100,2100,2080,2094,1.09736E+11,52403529,2657,D,1886,2080
S*Kerman.Khodro.E.,20181022,1950,1950,1862,1907,63424910958,33250577,1519,D,2094,1862
S*Kerman.Khodro.E.,20181024,1709,1709,1660,1697,57863394273,34101808,1754,D,1907,1660
S*Kerman.Khodro.E.,20181027,1735,1735,1669,1723,48716880552,28267914,1537,D,1697,1669
S*Kerman.Khodro.E.,20181029,1910,1910,1910,1910,95550601630,50026493,2690,D,1723,1910
S*Kerman.Khodro.E.,20181031,1880,1880,1860,1877,52959871880,28221739,1613,D,1910,1860
S*Kerman.Khodro.E.,20181103,1830,1830,1704,1748,26191158390,14983329,661,D,1877,1704
S*Kerman.Khodro.E.,20181105,1731,1849,1731,1822,32156261111,17644793,686,D,1748,1849
S*Kerman.Khodro.E.,20181110,1865,1865,1790,1840,44336218885,24092984,1166,D,1822,1790
S*Kerman.Khodro.E.,20181112,1800,1811,1800,1803,81182850667,45032728,2309,D,1840,1811
S*Kerman.Khodro.E.,20181114,1740,1770,1740,1748,31256794500,17876940,1069,D,1803,1770
S*Kerman.Khodro.E.,20181117,1790,1790,1750,1780,44170646780,24820798,1424,D,1748,1750
S*Kerman.Khodro.E.,20181119,1735,1735,1720,1733,42747397990,24667261,1531,D,1780,1720
S*Kerman.Khodro.E.,20181121,1760,1799,1760,1772,30874269225,17421291,1121,D,1733,1799
