<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Pars.Khodro,20030507,6000,10000,4000,6621,3608122553,561712,318,D,6000,6621
S*Pars.Khodro,20030510,6952,6952,6400,6952,4714117216,680409,330,D,6621,6952
S*Pars.Khodro,20030511,7299,7299,7299,7299,910907901,124799,94,D,6952,7299
S*Pars.Khodro,20030512,7663,7663,7663,7663,1375776705,179535,139,D,7299,7663
S*Pars.Khodro,20030513,8046,8046,8046,8046,1781657964,221434,155,D,7663,8046
S*Pars.Khodro,20030514,8448,8448,8448,8448,1188253440,140655,104,D,8046,8448
S*Pars.Khodro,20030517,8450,8870,8402,8444,6773780046,786860,417,D,8448,8444
S*Pars.Khodro,20030518,8298,8395,8022,8022,3983067223,496179,196,D,8444,8022
S*Pars.Khodro,20030520,8000,8020,7621,8020,4134590656,531907,310,D,8022,8020
S*Pars.Khodro,20030521,8421,8421,8020,8421,1538550525,184518,127,D,8020,8421
S*Pars.Khodro,20030524,8840,8842,8159,8397,1065380072,124564,115,D,8421,8397
S*Pars.Khodro,20030525,8300,8360,8100,8299,1816264116,222675,132,D,8397,8299
S*Pars.Khodro,20030526,8150,8502,8100,8452,3436005095,410828,297,D,8299,8452
S*Pars.Khodro,20030527,8660,8874,8453,8505,3396167865,391999,263,D,8452,8505
S*Pars.Khodro,20030528,8862,8930,8518,8930,3958791055,449749,273,D,8505,8930
S*Pars.Khodro,20030531,8901,9303,8901,9270,2436536958,265109,149,D,8930,9270
S*Pars.Khodro,20030601,9270,9302,8807,9090,2585758328,284740,135,D,9270,9090
S*Pars.Khodro,20030602,9086,9110,8800,8800,1402427323,156235,112,D,9090,8800
S*Pars.Khodro,20030603,8801,8819,8800,8813,577736989,65623,70,D,8800,8813
S*Pars.Khodro,20030607,8504,8703,8500,8600,1880755382,217701,106,D,8813,8600
S*Pars.Khodro,20030608,8300,8559,8250,8300,1362032084,164224,103,D,8600,8300
S*Pars.Khodro,20030609,8001,8002,8000,8000,649467060,81183,61,D,8300,8000
S*Pars.Khodro,20030610,7948,8000,7780,8000,1272953207,161367,86,D,8000,8000
S*Pars.Khodro,20030611,8000,8000,7652,7899,193798168,24574,21,D,8000,7899
S*Pars.Khodro,20030614,7600,7601,7505,7505,955334364,126068,65,D,7899,7505
S*Pars.Khodro,20030615,7293,7504,7130,7500,1293336243,179799,67,D,7505,7500
S*Pars.Khodro,20030616,7440,7860,7440,7750,737988431,96887,70,D,7500,7750
S*Pars.Khodro,20030617,7750,7880,7750,7880,226734600,28828,14,D,7750,7880
S*Pars.Khodro,20030622,8800,8999,8000,8991,623228163,71343,51,D,7880,8991
S*Pars.Khodro,20030623,8542,8992,8542,8723,3275263645,373928,252,D,8991,8723
S*Pars.Khodro,20030624,8800,9001,7500,9000,4.66793E+11,62181069,218,D,8723,9000
S*Pars.Khodro,20030722,14000,16008,9500,16000,10300606316,677638,251,D,9000,16000
S*Pars.Khodro,20030818,6960,8900,6800,8000,7126225866,928452,272,D,16000,8000
S*Pars.Khodro,20030819,8000,8000,8000,8000,17144984000,2143123,424,D,8000,8000
S*Pars.Khodro,20030820,8400,8400,8000,8192,5198672869,634585,185,D,8000,8192
S*Pars.Khodro,20030823,8398,8398,8192,8192,1024854100,124208,69,D,8192,8192
S*Pars.Khodro,20030824,8199,8199,8041,8192,2022919883,250152,137,D,8192,8192
S*Pars.Khodro,20030825,8100,8192,7785,8192,1332752437,168009,103,D,8192,8192
S*Pars.Khodro,20030826,7800,8192,7783,8192,1180436222,151659,58,D,8192,8192
S*Pars.Khodro,20030827,7783,8192,7783,8192,1145689842,145277,64,D,8192,8192
S*Pars.Khodro,20030830,7899,8192,7899,8192,1735368848,217857,75,D,8192,8192
S*Pars.Khodro,20030831,8040,8200,8039,8192,615438708,75289,46,D,8192,8192
S*Pars.Khodro,20030901,8192,8192,8050,8192,798859707,98938,54,D,8192,8192
S*Pars.Khodro,20030902,8176,8192,7999,8192,360382918,44994,36,D,8192,8192
S*Pars.Khodro,20030903,7998,8192,7990,8192,100170632,12530,13,D,8192,8192
S*Pars.Khodro,20030906,7978,8192,7783,8192,432160602,55250,36,D,8192,8192
S*Pars.Khodro,20030907,7783,7783,7783,7783,5611543,721,3,D,8192,7783
S*Pars.Khodro,20030908,7394,7783,7394,7783,590119242,79808,50,D,7783,7783
S*Pars.Khodro,20030909,7394,7783,7394,7783,38489660,5205,10,D,7783,7783
S*Pars.Khodro,20030913,7394,7783,7394,7783,3553010,480,2,D,7783,7783
S*Pars.Khodro,20030916,7394,7775,7394,7775,16366732,2213,6,D,7783,7775
S*Pars.Khodro,20030921,7387,7775,7387,7775,2899584,392,3,D,7775,7775
S*Pars.Khodro,20030922,7387,7775,7387,7775,5167393,699,4,D,7775,7775
S*Pars.Khodro,20030927,7387,7775,7387,7775,6016898,814,3,D,7775,7775
S*Pars.Khodro,20030930,7387,7768,7387,7768,14438008,1954,5,D,7775,7768
S*Pars.Khodro,20031001,7380,7768,7380,7768,1066600,144,2,D,7768,7768
S*Pars.Khodro,20031004,7380,7757,7380,7757,21228650,2876,3,D,7768,7757
S*Pars.Khodro,20031005,7370,7505,7370,7505,2440112540,331087,16,D,7757,7505
S*Pars.Khodro,20031008,7130,7468,7130,7468,76729310,10761,3,D,7505,7468
S*Pars.Khodro,20031011,7095,7460,7095,7460,15470750,2180,3,D,7468,7460
S*Pars.Khodro,20031013,7087,7454,7087,7454,10705040,1510,3,D,7460,7454
S*Pars.Khodro,20031014,7082,7444,7082,7444,19634924,2772,8,D,7454,7444
S*Pars.Khodro,20031015,7082,7440,7072,7440,7329270,1035,5,D,7444,7440
S*Pars.Khodro,20031020,7068,7435,7068,7435,10054366,1422,3,D,7440,7435
S*Pars.Khodro,20031022,7064,7367,7064,7367,141353670,20010,7,D,7435,7367
S*Pars.Khodro,20031025,6999,7216,6999,7216,311751628,44542,31,D,7367,7216
S*Pars.Khodro,20031026,6856,7160,6856,7160,115183840,16800,7,D,7216,7160
S*Pars.Khodro,20031027,6802,7142,6802,7142,36006386,5293,10,D,7160,7142
S*Pars.Khodro,20031028,6785,7142,6785,7142,1564120,230,2,D,7142,7142
S*Pars.Khodro,20031029,6785,7142,6785,7142,2514020,370,2,D,7142,7142
S*Pars.Khodro,20031101,6785,7128,6785,7128,28860035,4253,4,D,7142,7128
S*Pars.Khodro,20031103,6772,7039,6772,7039,183787978,27139,7,D,7128,7039
S*Pars.Khodro,20031104,6688,7035,6688,7035,6758350,1010,3,D,7039,7035
S*Pars.Khodro,20031108,6684,7008,6684,7008,55092768,8242,8,D,7035,7008
S*Pars.Khodro,20031110,6658,6658,6658,6658,3196126294,480043,183,D,7008,6658
S*Pars.Khodro,20031111,6326,6656,6326,6605,327941413,50112,33,D,6658,6605
S*Pars.Khodro,20031112,6401,6555,6276,6555,170446077,26616,23,D,6605,6555
S*Pars.Khodro,20031115,6487,6528,6228,6528,61301633,9800,17,D,6555,6528
S*Pars.Khodro,20031117,6202,6508,6202,6508,41247304,6650,12,D,6528,6508
S*Pars.Khodro,20031118,6183,6480,6183,6480,57993327,9379,7,D,6508,6480
S*Pars.Khodro,20031119,6156,6470,6156,6470,20114792,3267,7,D,6480,6470
S*Pars.Khodro,20031122,6147,6467,6147,6467,5013005,815,2,D,6470,6467
S*Pars.Khodro,20031123,6144,6174,6144,6174,610699677,99355,54,D,6467,6174
S*Pars.Khodro,20031124,6181,6183,3587,6174,7115255950,1981160,2644,D,6174,6174
S*Pars.Khodro,20031125,6113,6159,6100,6159,157657182,25788,11,D,6174,6159
S*Pars.Khodro,20031129,6113,6158,6097,6158,4111684,674,3,D,6159,6158
S*Pars.Khodro,20031130,6075,6084,5977,6084,303044078,50516,22,D,6158,6084
S*Pars.Khodro,20031201,6069,6120,5957,6040,336948719,56161,30,D,6084,6040
S*Pars.Khodro,20031202,5738,6034,5738,6034,16732020,2870,3,D,6040,6034
S*Pars.Khodro,20031203,5900,5900,5866,5883,654659007,111265,47,D,6034,5883
S*Pars.Khodro,20031206,5870,5900,5861,5873,1838337271,312995,52,D,5883,5873
S*Pars.Khodro,20031207,5987,6166,5850,5930,468038772,78616,45,D,5873,5930
S*Pars.Khodro,20031208,5930,6204,5930,6006,355319194,58514,28,D,5930,6006
S*Pars.Khodro,20031209,6200,6304,6103,6103,239611180,38125,25,D,6006,6103
S*Pars.Khodro,20031210,6190,6190,6105,6105,27870150,4525,6,D,6103,6105
S*Pars.Khodro,20031213,6300,6350,6191,6191,286230154,45338,34,D,6105,6191
S*Pars.Khodro,20031214,6400,6500,6319,6319,329650320,50976,43,D,6191,6319
S*Pars.Khodro,20031215,6324,6325,6318,6321,361862687,57225,51,D,6319,6321
S*Pars.Khodro,20031216,6330,6500,6330,6332,207892704,32681,25,D,6321,6332
S*Pars.Khodro,20031217,6350,6400,6348,6348,218721036,34250,27,D,6332,6348
S*Pars.Khodro,20031221,6350,6352,6200,6347,14959120,2359,7,D,6348,6347
S*Pars.Khodro,20031222,6300,6344,6296,6344,35003203,5559,8,D,6347,6344
S*Pars.Khodro,20031223,6027,6286,6027,6286,118541626,19668,11,D,6344,6286
S*Pars.Khodro,20031224,5972,6286,5972,6286,5067396,848,3,D,6286,6286
