<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Saipa.Diesel,20180707,700,700,700,700,9501104200,13573006,772,D,838,700
S*Saipa.Diesel,20180711,700,700,660,675,5008680880,7424612,317,D,700,660
S*Saipa.Diesel,20180714,649,694,649,657,14261046773,21705332,1194,D,675,694
S*Saipa.Diesel,20180716,690,690,664,688,14690923362,21368397,1170,D,657,664
S*Saipa.Diesel,20180718,670,670,615,640,4285152325,6706136,314,D,688,615
S*Saipa.Diesel,20180721,630,651,630,638,7250297397,11366805,583,D,640,651
S*Saipa.Diesel,20180723,630,630,588,600,3803114784,6342747,377,D,638,588
S*Saipa.Diesel,20180725,555,555,555,555,13633997910,24565762,1308,D,600,555
S*Saipa.Diesel,20180728,560,560,498,515,9077224436,17639581,683,D,555,498
S*Saipa.Diesel,20180730,520,520,490,504,7136139810,14152845,560,D,515,490
S*Saipa.Diesel,20180801,540,540,500,518,10044914460,19379947,757,D,504,500
S*Saipa.Diesel,20180804,501,501,500,501,13738430219,27425783,1490,D,518,500
S*Saipa.Diesel,20180806,500,500,460,493,12152902820,24671885,1182,D,501,460
S*Saipa.Diesel,20180808,520,520,501,518,11941551938,23033593,1144,D,493,501
S*Saipa.Diesel,20180811,521,522,521,521,10912018299,20932888,880,D,518,522
S*Saipa.Diesel,20180813,550,550,519,544,13941336925,25643204,1273,D,521,519
S*Saipa.Diesel,20180815,522,522,522,522,8084737044,15488002,814,D,544,522
S*Saipa.Diesel,20180818,522,522,522,522,4378864338,8388629,442,D,522,522
S*Saipa.Diesel,20180820,540,540,530,538,5678829840,10562205,492,D,522,530
S*Saipa.Diesel,20180825,670,704,670,678,21160184872,31218458,1450,D,538,704
S*Saipa.Diesel,20180827,810,810,750,796,20166997740,25343504,1143,D,678,750
S*Saipa.Diesel,20180829,717,717,717,717,3319284102,4629406,134,D,796,717
S*Saipa.Diesel,20180901,717,719,672,690,16528497621,23949166,1507,D,717,682
S*Saipa.Diesel,20180902,695,759,695,737,27114313635,36799677,2328,D,690,759
S*Saipa.Diesel,20180903,770,809,750,779,22778322742,29226773,2033,D,737,776
S*Saipa.Diesel,20180910,856,941,856,899,22469675995,24990845,1628,D,779,880
S*Saipa.Diesel,20180911,895,988,840,940,48505864433,51617925,3430,D,899,988
S*Saipa.Diesel,20180912,1025,1034,1010,1030,9495147950,9214547,588,D,940,1034
S*Saipa.Diesel,20180915,1133,1133,1110,1133,38485994638,33973727,1812,D,1030,1133
S*Saipa.Diesel,20180916,1200,1246,1030,1207,1.17511E+11,97357389,5677,D,1133,1246
S*Saipa.Diesel,20180917,1290,1290,1260,1287,2132091670,1657011,64,D,1207,1260
S*Saipa.Diesel,20181002,1274,1401,1147,1330,1.1307E+11,84990183,3464,D,1287,1390
S*Saipa.Diesel,20181003,1463,1463,1463,1463,39867620485,27250595,1215,D,1330,1463
