<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Saipa,20010506,3213,3500,3100,3260,181379751,55879,77,D,3213,3260
S*Saipa,20010507,3260,3262,3230,3260,325663118,99962,80,D,3260,3260
S*Saipa,20010508,3270,3351,3269,3281,797914981,241949,87,D,3260,3281
S*Saipa,20010509,3350,3445,3281,3281,1392841852,415588,185,D,3281,3281
S*Saipa,20010512,3340,3439,3303,3439,79685410,23538,26,D,3281,3439
S*Saipa,20010513,3457,3499,3447,3450,441025763,127297,112,D,3439,3450
S*Saipa,20010515,3490,3500,3450,3450,355398008,102172,89,D,3450,3450
S*Saipa,20010516,3450,3500,3449,3449,217613221,62860,48,D,3450,3449
S*Saipa,20010519,3451,3452,3440,3440,90483021,26226,24,D,3449,3440
S*Saipa,20010520,3440,3440,3350,3350,89218325,26034,28,D,3440,3350
S*Saipa,20010521,3380,3400,3380,3380,117339780,34546,25,D,3350,3380
S*Saipa,20010523,3399,3399,3376,3398,55159260,16305,28,D,3380,3398
S*Saipa,20010526,3398,3500,3398,3485,58733327,16990,18,D,3398,3485
S*Saipa,20010527,3464,3465,3390,3400,94707263,27728,32,D,3485,3400
S*Saipa,20010528,3398,3400,3387,3387,121141724,35706,39,D,3400,3387
S*Saipa,20010529,3390,3390,3350,3386,18934395,5596,12,D,3387,3386
S*Saipa,20010530,3383,3400,3350,3397,113594525,33550,35,D,3386,3397
S*Saipa,20010602,3396,3396,3395,3395,51202040,15079,17,D,3397,3395
S*Saipa,20010603,3359,3395,3328,3395,154024550,45834,35,D,3395,3395
S*Saipa,20010606,3393,3393,3349,3350,32235913,9593,14,D,3395,3350
S*Saipa,20010609,3350,3350,3320,3346,14439487,4332,8,D,3350,3346
S*Saipa,20010611,3345,3370,3345,3370,91127132,27198,29,D,3346,3370
S*Saipa,20010612,3350,3370,3350,3370,55268630,16469,27,D,3370,3370
S*Saipa,20010613,3350,3351,3301,3351,60502419,18069,13,D,3370,3351
S*Saipa,20010616,3348,3350,3305,3348,29636159,8865,19,D,3351,3348
S*Saipa,20010617,3300,3330,3280,3330,247791246,75439,22,D,3348,3330
S*Saipa,20010618,3330,3330,3298,3298,34758552,10467,11,D,3330,3298
S*Saipa,20010619,3290,3327,3250,3327,129168395,39421,31,D,3298,3327
S*Saipa,20010620,3298,3300,3200,3300,124607629,38538,24,D,3327,3300
S*Saipa,20010623,3300,3304,3300,3300,53747179,16285,22,D,3300,3300
S*Saipa,20010624,3300,3300,3300,3300,28234800,8556,10,D,3300,3300
S*Saipa,20010625,3298,3302,3298,3300,48366538,14654,24,D,3300,3300
S*Saipa,20010626,3301,3346,3301,3301,31240492,9456,19,D,3300,3301
S*Saipa,20010627,3301,3346,3301,3301,52918885,16015,16,D,3301,3301
S*Saipa,20010630,3301,3301,3301,3301,6796759,2059,1,D,3301,3301
S*Saipa,20010701,3298,3350,3290,3350,246753785,73895,34,D,3301,3350
S*Saipa,20010702,3349,3349,3348,3349,31687718,9462,6,D,3350,3349
S*Saipa,20010703,3348,3351,3348,3350,102162058,30498,18,D,3349,3350
S*Saipa,20010704,3346,3346,3300,3300,53068080,15980,9,D,3350,3300
