<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
VAMCO,20050507,1300,1300,1300,1300,23916548500,18397345,2697,D,0,1300
VAMCO,20050508,1365,1365,1365,1365,4628784615,3391051,767,D,1300,1365
VAMCO,20050509,1433,1433,1433,1433,5732000000,4000000,521,D,1365,1433
VAMCO,20050511,1400,1430,1377,1393,4267582796,3061934,1261,D,1433,1393
VAMCO,20050514,1367,1390,1325,1371,3267884307,2382144,781,D,1393,1371
VAMCO,20050524,1300,1300,1252,1278,23028780,18010,4,D,1371,1278
VAMCO,20050525,1279,1329,1276,1287,741012079,575345,169,D,1278,1287
VAMCO,20050528,1351,1351,1287,1323,651711627,492413,140,D,1287,1323
VAMCO,20050529,1319,1329,1280,1306,418110504,319922,99,D,1323,1306
VAMCO,20050530,1281,1292,1278,1279,611919066,478106,140,D,1306,1279
VAMCO,20050531,1280,1280,1265,1277,395627640,309588,86,D,1279,1277
VAMCO,20050601,1280,1280,1265,1275,359209128,281611,80,D,1277,1275
VAMCO,20050606,1270,1278,1221,1257,298145666,237085,58,D,1275,1257
VAMCO,20050607,1255,1270,1230,1249,336234352,269004,83,D,1257,1249
VAMCO,20050608,1248,1266,1229,1252,402801710,321559,82,D,1249,1252
VAMCO,20050611,1250,1250,1213,1243,133627023,108354,41,D,1252,1243
VAMCO,20050612,1202,1250,1200,1231,167550482,136918,51,D,1243,1231
VAMCO,20050613,1231,1231,1175,1201,360361985,299978,61,D,1231,1201
VAMCO,20050614,1202,1222,1200,1205,139549676,115241,37,D,1201,1205
VAMCO,20050615,1220,1221,1204,1207,203082715,168073,67,D,1205,1207
VAMCO,20050618,1210,1214,1200,1205,92119234,76654,30,D,1207,1205
VAMCO,20050619,1198,1204,1177,1199,427046110,356035,79,D,1205,1199
VAMCO,20050620,1200,1200,1160,1193,183889117,154330,44,D,1199,1193
VAMCO,20050621,1192,1200,1172,1191,145446171,122215,40,D,1193,1191
VAMCO,20050622,1189,1200,1180,1194,228622445,191128,46,D,1191,1194
VAMCO,20050625,1140,1140,1135,1139,255689529,224970,60,D,1194,1139
