<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zamyad,20010408,16387,16690,16379,16690,105522480,6413,62,D,0,16690
Zamyad,20010410,16495,16495,16495,16495,3364980,204,1,D,16690,16495
Zamyad,20010411,16200,16200,16000,16000,66762000,4170,18,D,16495,16000
Zamyad,20010414,16000,16000,15700,16000,154041834,9654,85,D,16000,16000
Zamyad,20010415,16000,16200,16000,16200,50549340,3143,26,D,16000,16200
Zamyad,20010416,17010,17010,16295,17010,209851560,12652,53,D,16200,17010
Zamyad,20010417,17210,17860,17014,17860,218169888,12460,54,D,17010,17860
Zamyad,20010418,17860,17860,17849,17849,35594116,1993,24,D,17860,17849
Zamyad,20010421,17010,17828,17010,17828,17894581,1004,11,D,17849,17828
Zamyad,20010422,16957,17300,16937,17300,246392392,14466,104,D,17828,17300
Zamyad,20010423,16999,16999,16438,16890,88569486,5258,24,D,17300,16890
Zamyad,20010424,16435,16435,16434,16434,4108730,250,4,D,16890,16434
Zamyad,20010428,16342,16344,16340,16340,49681630,3040,8,D,16434,16340
Zamyad,20010430,15614,15900,15532,15532,120379205,7707,47,D,16340,15532
Zamyad,20010501,15527,15527,15499,15499,1986288,128,5,D,15532,15499
Zamyad,20010505,15388,15388,15000,15000,150922360,10060,40,D,15499,15000
Zamyad,20010506,15000,15002,14995,15000,307802370,20521,86,D,15000,15000
Zamyad,20010507,15000,15300,14999,15300,170067828,11310,51,D,15000,15300
Zamyad,20010508,15303,15400,15300,15400,65273254,4255,17,D,15300,15400
Zamyad,20010509,15312,15490,15300,15400,191245140,12460,41,D,15400,15400
Zamyad,20010512,15400,15400,15300,15394,40030184,2606,13,D,15400,15394
Zamyad,20010513,15394,15395,15250,15250,79705655,5209,18,D,15394,15250
Zamyad,20010515,15248,15350,15240,15240,118014060,7740,25,D,15250,15240
Zamyad,20010516,15239,15251,15239,15250,119250398,7822,32,D,15240,15250
Zamyad,20010519,15250,15367,15250,15360,147486299,9618,24,D,15250,15360
Zamyad,20010520,15360,15360,15350,15353,104199098,6788,22,D,15360,15353
Zamyad,20010521,15378,15465,15362,15407,36651092,2379,12,D,15353,15407
Zamyad,20010602,16511,17001,16500,16500,316670020,18956,48,D,15407,16500
Zamyad,20010603,16100,16500,16000,16500,224775835,13777,33,D,16500,16500
Zamyad,20010606,16499,16500,16499,16500,78737800,4772,19,D,16500,16500
Zamyad,20010609,16650,17003,16650,17003,158252580,9383,21,D,16500,17003
Zamyad,20010611,17300,17400,17003,17400,654454030,37777,54,D,17003,17400
Zamyad,20010612,17450,17586,17410,17580,320296127,18312,43,D,17400,17580
Zamyad,20010613,17801,17911,17581,17911,270740086,15184,51,D,17580,17911
Zamyad,20010616,18103,18117,17794,17794,697233317,38845,105,D,17911,17794
Zamyad,20010710,16102,16102,15700,16000,764919932,48082,52,D,17794,16000
Zamyad,20010711,15700,16000,15700,16000,855091691,53902,90,D,16000,16000
Zamyad,20010714,16001,16305,16000,16302,274101862,16914,43,D,16000,16302
Zamyad,20010715,16306,16401,16304,16400,152379895,9308,25,D,16302,16400
